Category: All categories

Day,sipon: (Metro Manila)
2021-01-10,100
2021-01-11,65
2021-01-12,82
2021-01-13,71
2021-01-14,60
2021-01-15,38
2021-01-16,67
2021-01-17,70
2021-01-18,55
2021-01-19,82
2021-01-20,61
2021-01-21,42
2021-01-22,75
2021-01-23,54
2021-01-24,61
2021-01-25,42
2021-01-26,28
2021-01-27,40
2021-01-28,58
2021-01-29,39
2021-01-30,62
2021-01-31,86
2021-02-01,56
2021-02-02,54
2021-02-03,80
2021-02-04,55
2021-02-05,69
2021-02-06,60
2021-02-07,95
2021-02-08,55
2021-02-09,52
