Category: All categories

Day,flu: (Metro Manila)
2020-08-13,89
2020-08-14,74
2020-08-15,100
2020-08-16,83
2020-08-17,75
2020-08-18,73
2020-08-19,64
2020-08-20,76
2020-08-21,69
2020-08-22,73
2020-08-23,84
2020-08-24,63
2020-08-25,59
2020-08-26,70
2020-08-27,57
2020-08-28,53
2020-08-29,61
2020-08-30,56
2020-08-31,69
2020-09-01,54
2020-09-02,44
2020-09-03,61
2020-09-04,52
2020-09-05,62
2020-09-06,45
2020-09-07,55
2020-09-08,41
2020-09-09,49
2020-09-10,51
2020-09-11,50
2020-09-12,41
