Category: All categories

Day,flu: (Metro Manila)
2021-02-09,20
2021-02-10,22
2021-02-11,15
2021-02-12,21
2021-02-13,26
2021-02-14,17
2021-02-15,25
2021-02-16,25
2021-02-17,18
2021-02-18,21
2021-02-19,25
2021-02-20,34
2021-02-21,100
2021-02-22,57
2021-02-23,34
2021-02-24,33
2021-02-25,30
2021-02-26,23
2021-02-27,21
2021-02-28,22
2021-03-01,29
2021-03-02,31
2021-03-03,19
2021-03-04,30
2021-03-05,26
2021-03-06,22
2021-03-07,31
2021-03-08,28
2021-03-09,35
2021-03-10,25
2021-03-11,34
