Category: All categories

Day,flu: (Metro Manila)
2020-03-16,100
2020-03-17,51
2020-03-18,38
2020-03-19,39
2020-03-20,35
2020-03-21,32
2020-03-22,33
2020-03-23,35
2020-03-24,26
2020-03-25,31
2020-03-26,28
2020-03-27,25
2020-03-28,28
2020-03-29,26
2020-03-30,22
2020-03-31,17
2020-04-01,16
2020-04-02,18
2020-04-03,13
2020-04-04,16
2020-04-05,21
2020-04-06,17
2020-04-07,15
2020-04-08,12
2020-04-09,12
2020-04-10,21
2020-04-11,17
2020-04-12,12
2020-04-13,14
2020-04-14,12
2020-04-15,12
