Category: All categories

Day,flu: (Metro Manila)
2020-05-15,50
2020-05-16,100
2020-05-17,97
2020-05-18,89
2020-05-19,81
2020-05-20,66
2020-05-21,66
2020-05-22,58
2020-05-23,62
2020-05-24,49
2020-05-25,60
2020-05-26,48
2020-05-27,61
2020-05-28,79
2020-05-29,68
2020-05-30,66
2020-05-31,58
2020-06-01,65
2020-06-02,56
2020-06-03,47
2020-06-04,65
2020-06-05,58
2020-06-06,70
2020-06-07,70
2020-06-08,56
2020-06-09,46
2020-06-10,43
2020-06-11,51
2020-06-12,56
2020-06-13,76
2020-06-14,74
