Category: All categories

Day,flu: (Metro Manila)
2020-12-11,63
2020-12-12,57
2020-12-13,64
2020-12-14,57
2020-12-15,59
2020-12-16,54
2020-12-17,66
2020-12-18,61
2020-12-19,48
2020-12-20,80
2020-12-21,57
2020-12-22,46
2020-12-23,67
2020-12-24,82
2020-12-25,77
2020-12-26,53
2020-12-27,77
2020-12-28,88
2020-12-29,80
2020-12-30,84
2020-12-31,100
2021-01-01,69
2021-01-02,71
2021-01-03,74
2021-01-04,54
2021-01-05,59
2021-01-06,71
2021-01-07,73
2021-01-08,70
2021-01-09,73
2021-01-10,67
