Category: All categories

Day,flu: (Metro Manila)
2020-09-12,100
2020-09-13,71
2020-09-14,85
2020-09-15,81
2020-09-16,87
2020-09-17,100
2020-09-18,78
2020-09-19,69
2020-09-20,64
2020-09-21,70
2020-09-22,76
2020-09-23,97
2020-09-24,79
2020-09-25,98
2020-09-26,80
2020-09-27,77
2020-09-28,94
2020-09-29,71
2020-09-30,68
2020-10-01,84
2020-10-02,68
2020-10-03,71
2020-10-04,71
2020-10-05,57
2020-10-06,70
2020-10-07,78
2020-10-08,50
2020-10-09,69
2020-10-10,66
2020-10-11,61
2020-10-12,74
