date,contact tracing,isPartial
2021-03-16,90,False
2021-03-17,84,False
2021-03-18,78,False
2021-03-19,100,False
2021-03-20,65,False
2021-03-21,0,False
2021-03-22,67,False
2021-03-23,52,False
2021-03-24,68,False
2021-03-25,71,False
2021-03-26,66,False
2021-03-27,0,False
2021-03-28,99,False
2021-03-29,77,False
2021-03-30,66,False
2021-03-31,86,False
2021-04-01,0,False
2021-04-02,0,False
2021-04-03,0,False
2021-04-04,70,False
2021-04-05,59,False
2021-04-06,66,False
2021-04-07,64,False
2021-04-08,90,False
2021-04-09,0,False
2021-04-10,0,False
2021-04-11,0,False
2021-04-12,76,False
2021-04-13,50,False
2021-04-14,0,False
2021-04-15,67,False
