date,contact tracing,isPartial
2020-09-24,0,False
2020-09-25,68,False
2020-09-26,0,False
2020-09-27,0,False
2020-09-28,78,False
2020-09-29,68,False
2020-09-30,0,False
2020-10-01,67,False
2020-10-02,79,False
2020-10-03,64,False
2020-10-04,100,False
2020-10-05,71,False
2020-10-06,68,False
2020-10-07,49,False
2020-10-08,45,False
2020-10-09,92,False
2020-10-10,0,False
2020-10-11,0,False
2020-10-12,0,False
2020-10-13,48,False
2020-10-14,57,False
2020-10-15,0,False
2020-10-16,0,False
2020-10-17,0,False
2020-10-18,0,False
2020-10-19,61,False
2020-10-20,56,False
2020-10-21,51,False
2020-10-22,0,False
2020-10-23,0,False
2020-10-24,0,False
