Category: All categories

Day,ecq: (Metro Manila)
2020-08-13,37
2020-08-14,30
2020-08-15,29
2020-08-16,33
2020-08-17,100
2020-08-18,37
2020-08-19,16
2020-08-20,15
2020-08-21,9
2020-08-22,10
2020-08-23,8
2020-08-24,10
2020-08-25,10
2020-08-26,10
2020-08-27,8
2020-08-28,10
2020-08-29,4
2020-08-30,8
2020-08-31,16
2020-09-01,16
2020-09-02,9
2020-09-03,10
2020-09-04,7
2020-09-05,6
2020-09-06,7
2020-09-07,11
2020-09-08,9
2020-09-09,7
2020-09-10,6
2020-09-11,9
2020-09-12,6
