Category: All categories

Day,ecq: (Metro Manila)
2020-11-11,58
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,43
2020-11-17,40
2020-11-18,0
2020-11-19,0
2020-11-20,30
2020-11-21,0
2020-11-22,0
2020-11-23,0
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-11-30,53
2020-12-01,37
2020-12-02,53
2020-12-03,47
2020-12-04,44
2020-12-05,53
2020-12-06,100
2020-12-07,49
2020-12-08,33
2020-12-09,0
2020-12-10,0
2020-12-11,43
