date,index
2020-10-16,25.637190697674416
2020-10-17,13.351216666666668
2020-10-18,0.0
2020-10-19,11.539128440366973
2020-10-20,13.517747945205482
2020-10-21,0.0
2020-10-22,18.48349230769231
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,17.74032
2020-10-27,11.881518584070797
2020-10-28,inf
2020-10-29,inf
2020-10-30,79.23196624472574
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,inf
2020-11-04,0.0
2020-11-05,inf
2020-11-06,inf
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,50.511737499999995
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,57.413793172690774
2020-11-20,65.755008
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,95.07104705882351
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,74.5950645914397
2020-11-28,65.04527674418604
2020-11-29,0.0
2020-11-30,63.291446153846145
2020-12-01,0.0
2020-12-02,76.15732022900764
2020-12-03,61.326675285171106
2020-12-04,82.616125
2020-12-05,0.0
2020-12-06,83.93166315789473
2020-12-07,61.1792074906367
2020-12-08,97.28285634328358
2020-12-09,62.17945427509294
2020-12-10,84.2413288888889
2020-12-11,87.16873505535054
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,61.11616618181818
2020-12-16,inf
2020-12-17,inf
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,inf
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,inf
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,92.45394736842105
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,74.53174757281553
2021-01-19,0.0
2021-01-20,62.610473633440506
2021-01-21,0.0
2021-01-22,99.25900958466454
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,52.613484542586754
2021-01-27,0.0
2021-01-28,87.64013793103447
2021-01-29,74.69521875000001
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,63.74472861538462
2021-02-03,85.6569790769231
2021-02-04,0.0
2021-02-05,99.29318042813455
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,0.0
2021-02-12,61.757902994011985
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,inf
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,inf
2021-02-28,0.0
2021-03-01,inf
2021-03-02,0.0
2021-03-03,inf
2021-03-04,
2021-03-05,inf
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,inf
