,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,0.0,0.42898858691122166,0.553555208050698,0.29741925645999767,0.27683874689227234,0.28461964653117044,0.20976677384690431,0.39768823227859873,0.3396005445585877,0.4737247135727314,0.28276861929151836,0.3668110245196479,0.6736338410760908,0.6760020692939901,0.6473317253071823
cough,0.42898858691122166,0.0,0.6098765940672337,0.4102187851397441,0.28322833905193395,0.2940118521303996,0.43539178586744787,0.27940675387467456,0.3875395066807535,0.41117739736431885,0.4666899280109488,0.2158276391522324,0.4647915294616487,0.41589402538461684,0.3049328677995536
fever,0.553555208050698,0.6098765940672337,0.0,0.260839859253311,0.19620057192195586,0.2936254886214347,0.22865694871150216,0.31239617970407496,0.4454209369252957,0.30163055636466996,0.6086022077503854,0.26823366024872997,0.4571151341602098,0.4711318407896876,0.3109912622969671
headache,0.29741925645999767,0.4102187851397441,0.260839859253311,0.0,0.17439842473212003,0.2088317847870659,0.31430801028775923,0.23071125306523277,0.32449512197146646,0.34768521557075066,0.32641822372464274,0.21967163536465628,0.35071800584857116,0.4359840007083699,0.4957158681982774
lagnat,0.27683874689227234,0.28322833905193395,0.19620057192195586,0.17439842473212003,0.0,0.224686406529988,0.23902399176674438,0.34856561999335917,0.23773401497400914,0.32059796469820445,0.25814817596209144,0.26972495314787337,0.33181779396434863,0.19668771256522297,0.1889017305929854
rashes,0.28461964653117044,0.2940118521303996,0.2936254886214347,0.2088317847870659,0.224686406529988,0.0,0.3329798908412144,0.18783214733802997,0.2111527080406601,0.24848997331988792,0.2870249567183144,0.4015491556287821,0.2686923062974949,0.24698018003663108,0.3911264897899328
sipon,0.20976677384690431,0.43539178586744787,0.22865694871150216,0.31430801028775923,0.23902399176674438,0.3329798908412144,0.0,0.22549673935002654,0.3877028257180439,0.2911829518313903,0.31397598869556814,0.2139180883980212,0.35521126933757674,0.2485253443893293,0.19980549473932432
ubo,0.39768823227859873,0.27940675387467456,0.31239617970407496,0.23071125306523277,0.34856561999335917,0.18783214733802997,0.22549673935002654,0.0,0.34115150126128674,0.3329608379339716,0.22504475746386182,0.24442094241372347,0.36135587035163463,0.3373844789337116,0.22692621504836188
ecq,0.3396005445585877,0.3875395066807535,0.4454209369252957,0.32449512197146646,0.23773401497400914,0.2111527080406601,0.3877028257180439,0.34115150126128674,0.0,0.2852271932843012,0.5683654627758702,0.273600658321234,0.6708957190121575,0.3841353293415947,0.42695528935609395
face-shield,0.4737247135727314,0.41117739736431885,0.30163055636466996,0.34768521557075066,0.32059796469820445,0.24848997331988792,0.2911829518313903,0.3329608379339716,0.2852271932843012,0.0,0.24478635511784155,0.5083756060967054,0.3605910549766227,0.3110833995174965,0.3264723260729841
Frontliners,0.28276861929151836,0.4666899280109488,0.6086022077503854,0.32641822372464274,0.25814817596209144,0.2870249567183144,0.31397598869556814,0.22504475746386182,0.5683654627758702,0.24478635511784155,0.0,0.3126450546269556,0.44390249138494675,0.24924229010070317,0.2365882901224412
masks,0.3668110245196479,0.2158276391522324,0.26823366024872997,0.21967163536465628,0.26972495314787337,0.4015491556287821,0.2139180883980212,0.24442094241372347,0.273600658321234,0.5083756060967054,0.3126450546269556,0.0,0.3040134410657798,0.2658202516372599,0.2956715892743174
Quarantine,0.6736338410760908,0.4647915294616487,0.4571151341602098,0.35071800584857116,0.33181779396434863,0.2686923062974949,0.35521126933757674,0.36135587035163463,0.6708957190121575,0.3605910549766227,0.44390249138494675,0.3040134410657798,0.0,0.59259807153972,0.6618584118116583
social-distancing,0.6760020692939901,0.41589402538461684,0.4711318407896876,0.4359840007083699,0.19668771256522297,0.24698018003663108,0.2485253443893293,0.3373844789337116,0.3841353293415947,0.3110833995174965,0.24924229010070317,0.2658202516372599,0.59259807153972,0.0,0.7697751633929584
work-from-home,0.6473317253071823,0.3049328677995536,0.3109912622969671,0.4957158681982774,0.1889017305929854,0.3911264897899328,0.19980549473932432,0.22692621504836188,0.42695528935609395,0.3264723260729841,0.2365882901224412,0.2956715892743174,0.6618584118116583,0.7697751633929584,0.0
