,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,0.0,0.47909481180165375,0.3932295154223234,0.2921982532095047,0.31650757818331354,0.39754214584369196,0.3541673503805123,0.25991110710572385,0.2510292292239773,0.2445521048857091,0.26420355799693857,0.33616099118823156,0.21381746748577676,0.2635298578462503,0.29817227095636617
cough,0.47909481180165375,0.0,0.3326513925974402,0.3084806883551869,0.20879568097320544,0.2713605217758526,0.3783525641732697,0.2826746991503026,0.22838934263109514,0.2871451552011653,0.20803682009744986,0.22017017222553142,0.1659832592237271,0.20238962696666182,0.26000413957270363
fever,0.3932295154223234,0.3326513925974402,0.0,0.2996543847879148,0.1742693260729758,0.2504441689278749,0.31924632445485857,0.28726367957693805,0.16634537497923865,0.2476152208061021,0.5290267926003084,0.3240584055588656,0.3637654071388331,0.4215021024407838,0.37734021937907314
headache,0.2921982532095047,0.3084806883551869,0.2996543847879148,0.0,0.18080851023122158,0.5619969402147202,0.32993561324555093,0.2792286038875674,0.18847986999412186,0.278911509890737,0.24700110028842973,0.4157474331358066,0.28084158995589215,0.2289219901208222,0.30547787481988203
lagnat,0.31650757818331354,0.20879568097320544,0.1742693260729758,0.18080851023122158,0.0,0.4063058127217552,0.439249115399321,0.24517267113039676,0.14979366911368547,0.22120062931081003,0.24001811262661865,0.2582304563245938,0.15250863329170714,0.38765971090035545,0.2766357571629854
rashes,0.39754214584369196,0.2713605217758526,0.2504441689278749,0.5619969402147202,0.4063058127217552,0.0,0.44315331708853006,0.28387347423570597,0.2916737739694201,0.4308602066881004,0.25703192907010775,0.3739224105865969,0.31262273846910443,0.18094235887548546,0.362033916674592
sipon,0.3541673503805123,0.3783525641732697,0.31924632445485857,0.32993561324555093,0.439249115399321,0.44315331708853006,0.0,0.27452403814908083,0.24941114923363383,0.34690475960549355,0.2510664500326568,0.3078363141054648,0.34943384341186184,0.22706649096095166,0.3327166214525593
ubo,0.25991110710572385,0.2826746991503026,0.28726367957693805,0.2792286038875674,0.24517267113039676,0.28387347423570597,0.27452403814908083,0.0,0.23000285134819665,0.31693139869364706,0.3172749676290315,0.27003023748755267,0.21399352376527203,0.3515231042767386,0.2655276640183251
ecq,0.2510292292239773,0.22838934263109514,0.16634537497923865,0.18847986999412186,0.14979366911368547,0.2916737739694201,0.24941114923363383,0.23000285134819665,0.0,0.3022922155677806,0.33255182536193706,0.2459450389130791,0.45508690451330347,0.22544973365073315,0.20003432482151842
face-shield,0.2445521048857091,0.2871451552011653,0.2476152208061021,0.278911509890737,0.22120062931081003,0.4308602066881004,0.34690475960549355,0.31693139869364706,0.3022922155677806,0.0,0.3206601011205695,0.3878579451422273,0.3892535167863531,0.1461959401862928,0.2601867967633783
Frontliners,0.26420355799693857,0.20803682009744986,0.5290267926003084,0.24700110028842973,0.24001811262661865,0.25703192907010775,0.2510664500326568,0.3172749676290315,0.33255182536193706,0.3206601011205695,0.0,0.23746852937348709,0.3044699445212402,0.5369925813749087,0.26588246497292567
masks,0.33616099118823156,0.22017017222553142,0.3240584055588656,0.4157474331358066,0.2582304563245938,0.3739224105865969,0.3078363141054648,0.27003023748755267,0.2459450389130791,0.3878579451422273,0.23746852937348709,0.0,0.34685124173887066,0.23360109075592883,0.252728167113741
Quarantine,0.21381746748577676,0.1659832592237271,0.3637654071388331,0.28084158995589215,0.15250863329170714,0.31262273846910443,0.34943384341186184,0.21399352376527203,0.45508690451330347,0.3892535167863531,0.3044699445212402,0.34685124173887066,0.0,0.1318446223263738,0.2849807427712893
social-distancing,0.2635298578462503,0.20238962696666182,0.4215021024407838,0.2289219901208222,0.38765971090035545,0.18094235887548546,0.22706649096095166,0.3515231042767386,0.22544973365073315,0.1461959401862928,0.5369925813749087,0.23360109075592883,0.1318446223263738,0.0,0.23528732666506214
work-from-home,0.29817227095636617,0.26000413957270363,0.37734021937907314,0.30547787481988203,0.2766357571629854,0.362033916674592,0.3327166214525593,0.2655276640183251,0.20003432482151842,0.2601867967633783,0.26588246497292567,0.252728167113741,0.2849807427712893,0.23528732666506214,0.0
