,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,0.0,0.34456584350773367,0.27266651890719346,0.26373219248085117,0.18390689748839528,0.42741530771200353,0.3795982271092946,0.37650764417654653,0.3930440895203041,0.26143599095186065,0.2427846258986011,0.23083208551658074,0.314533076524938,0.27049311922557445,0.33258261384590593
cough,0.34456584350773367,0.0,0.2138042839432164,0.33609216238505696,0.14889145623769118,0.2319556152372956,0.2931601765991639,0.1979160967725508,0.30180326200821433,0.23726512825760135,0.3419209336289678,0.28886965271372195,0.3038795112565869,0.23377822686991806,0.2563001333041939
fever,0.27266651890719346,0.2138042839432164,0.0,0.4017091464863107,0.2085964153077721,0.2990975216628516,0.3082230170460599,0.20171461612495178,0.325705460723268,0.2877069611098215,0.3289469803893352,0.4336148661529911,0.2631625716513131,0.22242643824788552,0.26407257701792
headache,0.26373219248085117,0.33609216238505696,0.4017091464863107,0.0,0.17069263261220471,0.23798510046334245,0.27454589354094905,0.19725929464526523,0.3584379345999515,0.3743352764545401,0.39426169087063034,0.3763833925891716,0.31327662928670336,0.3473025129094043,0.25528907533164436
lagnat,0.18390689748839528,0.14889145623769118,0.2085964153077721,0.17069263261220471,0.0,0.17776160711313396,0.2088554110329784,0.14832106711239282,0.21976454107806742,0.2763236656936848,0.2146674984315152,0.19731895488642998,0.18426119621869602,0.36065166247989333,0.2969252263318436
rashes,0.42741530771200353,0.2319556152372956,0.2990975216628516,0.23798510046334245,0.17776160711313396,0.0,0.3645068606651186,0.3225520763032978,0.376856184389653,0.280984671627411,0.2622187348253948,0.3084843213163427,0.26249735764802395,0.25794347027468056,0.28458841033259324
sipon,0.3795982271092946,0.2931601765991639,0.3082230170460599,0.27454589354094905,0.2088554110329784,0.3645068606651186,0.0,0.3313877950719785,0.3026856052723183,0.3759311736594467,0.40677230631446926,0.26852499744354974,0.3495891591242667,0.30380763689465085,0.3301402156819102
ubo,0.37650764417654653,0.1979160967725508,0.20171461612495178,0.19725929464526523,0.14832106711239282,0.3225520763032978,0.3313877950719785,0.0,0.6185203611105858,0.20888164239793244,0.3182627665617119,0.3263173462812383,0.45443890874527065,0.24781476120467275,0.31387441325094917
ecq,0.3930440895203041,0.30180326200821433,0.325705460723268,0.3584379345999515,0.21976454107806742,0.376856184389653,0.3026856052723183,0.6185203611105858,0.0,0.288997489067825,0.3897491742333262,0.2942694690073539,0.3527169580687046,0.3347626730456524,0.36610938153228473
face-shield,0.26143599095186065,0.23726512825760135,0.2877069611098215,0.3743352764545401,0.2763236656936848,0.280984671627411,0.3759311736594467,0.20888164239793244,0.288997489067825,0.0,0.4441046351339169,0.3255843760104907,0.2262096117253063,0.5316743489181791,0.28014424432777774
Frontliners,0.2427846258986011,0.3419209336289678,0.3289469803893352,0.39426169087063034,0.2146674984315152,0.2622187348253948,0.40677230631446926,0.3182627665617119,0.3897491742333262,0.4441046351339169,0.0,0.3132035342811603,0.29952154459957264,0.3882266241693415,0.25520523803373324
masks,0.23083208551658074,0.28886965271372195,0.4336148661529911,0.3763833925891716,0.19731895488642998,0.3084843213163427,0.26852499744354974,0.3263173462812383,0.2942694690073539,0.3255843760104907,0.3132035342811603,0.0,0.30650456737738024,0.28156993175776895,0.34036739573858027
Quarantine,0.314533076524938,0.3038795112565869,0.2631625716513131,0.31327662928670336,0.18426119621869602,0.26249735764802395,0.3495891591242667,0.45443890874527065,0.3527169580687046,0.2262096117253063,0.29952154459957264,0.30650456737738024,0.0,0.36969177387169166,0.2350561357384868
social-distancing,0.27049311922557445,0.23377822686991806,0.22242643824788552,0.3473025129094043,0.36065166247989333,0.25794347027468056,0.30380763689465085,0.24781476120467275,0.3347626730456524,0.5316743489181791,0.3882266241693415,0.28156993175776895,0.36969177387169166,0.0,0.32616003587941594
work-from-home,0.33258261384590593,0.2563001333041939,0.26407257701792,0.25528907533164436,0.2969252263318436,0.28458841033259324,0.3301402156819102,0.31387441325094917,0.36610938153228473,0.28014424432777774,0.25520523803373324,0.34036739573858027,0.2350561357384868,0.32616003587941594,0.0
