Category: All categories

Day,Frontliners: (Metro Manila)
2020-10-12,100
2020-10-13,81
2020-10-14,84
2020-10-15,84
2020-10-16,73
2020-10-17,58
2020-10-18,71
2020-10-19,65
2020-10-20,78
2020-10-21,70
2020-10-22,76
2020-10-23,65
2020-10-24,41
2020-10-25,39
2020-10-26,53
2020-10-27,75
2020-10-28,71
2020-10-29,91
2020-10-30,77
2020-10-31,41
2020-11-01,0
2020-11-02,62
2020-11-03,64
2020-11-04,65
2020-11-05,63
2020-11-06,39
2020-11-07,54
2020-11-08,56
2020-11-09,56
2020-11-10,57
2020-11-11,34
