Category: All categories

Day,Frontliners: (Metro Manila)
2020-09-12,0
2020-09-13,22
2020-09-14,30
2020-09-15,23
2020-09-16,37
2020-09-17,37
2020-09-18,23
2020-09-19,25
2020-09-20,22
2020-09-21,21
2020-09-22,35
2020-09-23,29
2020-09-24,30
2020-09-25,21
2020-09-26,18
2020-09-27,34
2020-09-28,34
2020-09-29,34
2020-09-30,34
2020-10-01,27
2020-10-02,41
2020-10-03,33
2020-10-04,36
2020-10-05,50
2020-10-06,58
2020-10-07,98
2020-10-08,100
2020-10-09,71
2020-10-10,41
2020-10-11,38
2020-10-12,65
