Category: All categories

Day,masks: (Metro Manila)
2020-07-14,0
2020-07-15,46
2020-07-16,65
2020-07-17,64
2020-07-18,100
2020-07-19,53
2020-07-20,68
2020-07-21,64
2020-07-22,64
2020-07-23,55
2020-07-24,70
2020-07-25,82
2020-07-26,38
2020-07-27,83
2020-07-28,40
2020-07-29,52
2020-07-30,45
2020-07-31,54
2020-08-01,41
2020-08-02,38
2020-08-03,36
2020-08-04,37
2020-08-05,26
2020-08-06,54
2020-08-07,58
2020-08-08,67
2020-08-09,50
2020-08-10,61
2020-08-11,46
2020-08-12,53
2020-08-13,33
