Category: All categories

Day,masks: (Metro Manila)
2021-01-10,0
2021-01-11,45
2021-01-12,33
2021-01-13,37
2021-01-14,30
2021-01-15,100
2021-01-16,52
2021-01-17,47
2021-01-18,42
2021-01-19,71
2021-01-20,39
2021-01-21,53
2021-01-22,69
2021-01-23,52
2021-01-24,58
2021-01-25,59
2021-01-26,68
2021-01-27,50
2021-01-28,57
2021-01-29,0
2021-01-30,55
2021-01-31,68
2021-02-01,60
2021-02-02,63
2021-02-03,54
2021-02-04,52
2021-02-05,37
2021-02-06,43
2021-02-07,0
2021-02-08,49
2021-02-09,79
