Category: All categories

Day,masks: (Metro Manila)
2021-02-09,75
2021-02-10,50
2021-02-11,77
2021-02-12,62
2021-02-13,66
2021-02-14,0
2021-02-15,75
2021-02-16,60
2021-02-17,53
2021-02-18,100
2021-02-19,0
2021-02-20,58
2021-02-21,0
2021-02-22,50
2021-02-23,42
2021-02-24,0
2021-02-25,100
2021-02-26,49
2021-02-27,68
2021-02-28,62
2021-03-01,0
2021-03-02,49
2021-03-03,0
2021-03-04,59
2021-03-05,64
2021-03-06,65
2021-03-07,0
2021-03-08,0
2021-03-09,73
2021-03-10,47
2021-03-11,74
