Category: All categories

Day,masks: (Metro Manila)
2020-08-13,100
2020-08-14,94
2020-08-15,88
2020-08-16,85
2020-08-17,63
2020-08-18,67
2020-08-19,59
2020-08-20,50
2020-08-21,48
2020-08-22,45
2020-08-23,73
2020-08-24,45
2020-08-25,45
2020-08-26,65
2020-08-27,76
2020-08-28,76
2020-08-29,70
2020-08-30,0
2020-08-31,73
2020-09-01,82
2020-09-02,52
2020-09-03,65
2020-09-04,54
2020-09-05,72
2020-09-06,0
2020-09-07,52
2020-09-08,50
2020-09-09,78
2020-09-10,65
2020-09-11,48
2020-09-12,65
