Category: All categories

Day,masks: (Metro Manila)
2020-06-14,80
2020-06-15,83
2020-06-16,100
2020-06-17,59
2020-06-18,48
2020-06-19,54
2020-06-20,78
2020-06-21,76
2020-06-22,54
2020-06-23,30
2020-06-24,47
2020-06-25,60
2020-06-26,34
2020-06-27,55
2020-06-28,58
2020-06-29,65
2020-06-30,71
2020-07-01,59
2020-07-02,54
2020-07-03,73
2020-07-04,46
2020-07-05,85
2020-07-06,74
2020-07-07,75
2020-07-08,62
2020-07-09,60
2020-07-10,65
2020-07-11,72
2020-07-12,85
2020-07-13,74
2020-07-14,0
