date,rescaled_number,final_index
2020-03-16,15.428571428571429,13.158367346938778
2020-03-17,26.448979591836732,22.55720116618076
2020-03-18,36.367346938775505,31.016151603498542
2020-03-19,20.93877551020408,17.857784256559768
2020-03-20,28.653061224489793,24.436967930029155
2020-03-21,34.16326530612245,29.136384839650148
2020-03-22,57.02752293577982,48.63633027522937
2020-03-23,61.779816513761475,52.68935779816515
2020-03-24,74.84862385321101,63.83518348623854
2020-03-25,71.28440366972478,60.79541284403671
2020-03-26,76.03669724770643,64.8484403669725
2020-03-27,84.35321100917432,71.9412385321101
2020-03-28,92.6697247706422,79.03403669724773
2020-03-29,79.73199329983248,68.0
2020-03-30,85.59463986599664,73.0
2020-03-31,96.14740368509212,82.0
2020-04-01,93.80234505862646,80.0
2020-04-02,116.08040201005024,99.0
2020-04-03,111.39028475711892,95.0
2020-04-04,117.25293132328306,100.0
2020-04-05,99.68464730290457,85.01676348547718
2020-04-06,101.95020746887968,86.94896265560168
2020-04-07,78.16182572614107,66.66087136929461
2020-04-08,80.42738589211618,68.59307053941909
2020-04-09,75.89626556016597,64.72867219917013
2020-04-10,62.30290456431535,53.135477178423244
2020-04-11,47.57676348547718,40.576182572614115
2020-04-12,50.57203389830509,43.13072033898306
2020-04-13,45.05508474576271,38.425550847457636
2020-04-14,47.813559322033896,40.77813559322034
2020-04-15,57.00847457627118,48.62008474576272
2020-04-16,75.39830508474576,64.30398305084746
2020-04-17,81.83474576271186,69.79334745762714
2020-04-18,76.3177966101695,65.08817796610171
2020-04-19,60.615514333895455,51.696374367622276
2020-04-20,65.21922428330524,55.6226812816189
2020-04-21,68.28836424957842,58.240219224283315
2020-04-22,62.15008431703205,53.00514333895448
2020-04-23,70.59021922428332,60.20337268128164
2020-04-24,63.68465430016864,54.313912310286696
2020-04-25,64.45193929173693,54.968296795952796
2020-04-26,53.08648648648648,45.27518918918919
2020-04-27,62.31891891891891,53.14913513513514
2020-04-28,59.24144144144144,50.52448648648649
2020-04-29,76.93693693693693,65.61621621621622
2020-04-30,59.24144144144144,50.52448648648649
2020-05-01,57.702702702702695,49.212162162162166
2020-05-02,58.472072072072066,49.86832432432433
2020-05-03,35.79459459459459,30.52767567567568
2020-05-04,44.74324324324324,38.1595945945946
2020-05-05,52.87837837837838,45.097702702702705
2020-05-06,32.54054054054054,27.75243243243244
2020-05-07,47.9972972972973,40.93483783783785
2020-05-08,48.810810810810814,41.62864864864866
2020-05-09,38.23513513513514,32.60910810810812
2020-05-10,27.22222222222222,23.21666666666667
2020-05-11,37.333333333333336,31.840000000000007
2020-05-12,35.77777777777778,30.513333333333335
2020-05-13,37.333333333333336,31.840000000000007
2020-05-14,33.44444444444444,28.523333333333333
2020-05-15,29.555555555555557,25.20666666666667
2020-05-16,30.333333333333332,25.870000000000005
2020-05-17,32.33443708609271,27.576655629139076
2020-05-18,31.29139072847682,26.687086092715234
2020-05-19,27.119205298013245,23.128807947019872
2020-05-20,28.162251655629134,24.018377483443707
2020-05-21,34.7682119205298,29.652317880794705
2020-05-22,24.337748344370866,20.7566225165563
2020-05-23,31.986754966887418,27.28013245033113
2020-05-24,28.26444444444444,24.10553333333333
2020-05-25,32.91555555555555,28.072266666666668
2020-05-26,34.34666666666666,29.292799999999996
2020-05-27,23.25555555555555,19.833666666666662
2020-05-28,23.25555555555555,19.833666666666662
2020-05-29,18.962222222222216,16.172066666666666
2020-05-30,0.0,0.0
2020-05-31,26.688654353562,22.761609498680738
2020-06-01,20.72295514511873,17.673720316622692
2020-06-02,0.0,0.0
2020-06-03,20.408970976253293,17.40593667546174
2020-06-04,18.21108179419525,15.531451187335094
2020-06-05,14.757255936675458,12.585831134564643
2020-06-06,18.21108179419525,15.531451187335094
2020-06-07,0.0,0.0
2020-06-08,17.917098445595855,15.280725388601038
2020-06-09,0.0,0.0
2020-06-10,0.0,0.0
2020-06-11,23.103626943005175,19.7040932642487
2020-06-12,25.93264248704663,22.116839378238343
2020-06-13,24.046632124352328,20.508341968911918
2020-06-14,10.824281150159743,9.231565495207668
2020-06-15,17.466453674121404,14.896389776357827
2020-06-16,10.332268370607029,8.811948881789139
2020-06-17,0.0,0.0
2020-06-18,12.546325878594248,10.700223642172524
2020-06-19,11.070287539936102,9.441373801916935
2020-06-20,14.760383386581468,12.588498402555912
2020-06-21,0.0,0.0
2020-06-22,18.2,15.522000000000002
2020-06-23,0.0,0.0
2020-06-24,16.45,14.0295
2020-06-25,23.799999999999997,20.298
2020-06-26,18.549999999999997,15.820500000000001
2020-06-27,0.0,0.0
2020-06-28,0.0,0.0
2020-06-29,0.0,0.0
2020-06-30,23.333333333333332,19.900000000000002
2020-07-01,0.0,0.0
2020-07-02,0.0,0.0
2020-07-03,46.666666666666664,39.800000000000004
2020-07-04,0.0,0.0
2020-07-05,0.0,0.0
2020-07-06,0.0,0.0
2020-07-07,0.0,0.0
2020-07-08,0.0,0.0
2020-07-09,0.0,0.0
2020-07-10,0.0,0.0
2020-07-11,0.0,0.0
2020-07-12,0.0,0.0
2020-07-13,0.0,0.0
2020-07-14,0.0,0.0
2020-07-15,0.0,0.0
2020-07-16,0.0,0.0
2020-07-17,0.0,0.0
2020-07-18,0.0,0.0
2020-07-19,0.0,0.0
2020-07-20,0.0,0.0
2020-07-21,0.0,0.0
2020-07-22,0.0,0.0
2020-07-23,0.0,0.0
2020-07-24,0.0,0.0
2020-07-25,0.0,0.0
2020-07-26,0.0,0.0
2020-07-27,0.0,0.0
2020-07-28,0.0,0.0
2020-07-29,13.658536585365852,11.64878048780488
