date,rescaled_number,final_index
2020-03-16,0.0,0.0
2020-03-17,0.0,0.0
2020-03-18,2.1428571428571423,0.9887755102040816
2020-03-19,0.0,0.0
2020-03-20,2.1428571428571423,0.9887755102040816
2020-03-21,1.714285714285714,0.7910204081632652
2020-03-22,1.473684210526316,0.6800000000000003
2020-03-23,1.842105263157895,0.8500000000000002
2020-03-24,2.210526315789474,1.0200000000000002
2020-03-25,4.052631578947369,1.8700000000000006
2020-03-26,2.947368421052632,1.3600000000000005
2020-03-27,4.421052631578948,2.0400000000000005
2020-03-28,4.052631578947369,1.8700000000000006
2020-03-29,4.042780748663101,1.8654545454545455
2020-03-30,5.727272727272727,2.642727272727273
2020-03-31,7.748663101604277,3.5754545454545457
2020-04-01,8.759358288770052,4.041818181818182
2020-04-02,11.117647058823527,5.13
2020-04-03,12.465240641711228,5.751818181818182
2020-04-04,13.139037433155078,6.062727272727273
2020-04-05,14.525469168900804,6.702466487935658
2020-04-06,33.78016085790885,15.587131367292228
2020-04-07,33.10455764075067,15.275388739946383
2020-04-08,15.53887399463807,7.170080428954425
2020-04-09,9.796246648793566,4.520268096514746
2020-04-10,9.458445040214478,4.364396782841824
2020-04-11,9.796246648793566,4.520268096514746
2020-04-12,21.705882352941178,10.015714285714287
2020-04-13,28.58823529411765,13.191428571428574
2020-04-14,27.529411764705884,12.702857142857146
2020-04-15,33.35294117647059,15.390000000000004
2020-04-16,5.294117647058823,2.442857142857143
2020-04-17,4.764705882352941,2.198571428571429
2020-04-18,4.764705882352941,2.198571428571429
2020-04-19,23.2992700729927,10.750948905109492
2020-04-20,27.182481751824817,12.54277372262774
2020-04-21,29.124087591240876,13.438686131386865
2020-04-22,29.124087591240876,13.438686131386865
2020-04-23,58.24817518248175,26.87737226277373
2020-04-24,73.78102189781022,34.04467153284672
2020-04-25,25.24087591240876,11.646861313868616
2020-04-26,22.568965517241377,10.41396551724138
2020-04-27,32.82758620689655,15.147586206896552
2020-04-28,38.98275862068965,17.987758620689657
2020-04-29,32.82758620689655,15.147586206896552
2020-04-30,45.137931034482754,20.82793103448276
2020-05-01,34.87931034482758,16.094310344827587
2020-05-02,30.775862068965512,14.200862068965517
2020-05-03,25.083333333333332,11.574166666666668
2020-05-04,32.80128205128205,15.135448717948721
2020-05-05,30.871794871794872,14.245128205128207
2020-05-06,25.083333333333332,11.574166666666668
2020-05-07,65.6025641025641,30.270897435897442
2020-05-08,59.81410256410256,27.599935897435902
2020-05-09,61.743589743589745,28.490256410256414
2020-05-10,58.51393188854488,27.0
2020-05-11,147.36842105263156,68.0
2020-05-12,216.71826625386993,100.0
2020-05-13,110.52631578947368,51.000000000000014
2020-05-14,65.01547987616098,30.0
2020-05-15,52.01238390092878,24.0
2020-05-16,49.84520123839009,23.000000000000004
2020-05-17,33.53808353808354,15.47542997542998
2020-05-18,31.81818181818182,14.681818181818185
2020-05-19,24.50859950859951,11.308968058968063
2020-05-20,19.77886977886978,9.12653562653563
2020-05-21,27.948402948402947,12.89619164619165
2020-05-22,21.4987714987715,9.920147420147423
2020-05-23,15.90909090909091,7.340909090909093
2020-05-24,14.973509933774832,6.909205298013245
2020-05-25,20.25827814569536,9.347748344370862
2020-05-26,23.78145695364238,10.973443708609272
2020-05-27,19.817880794701985,9.14453642384106
2020-05-28,21.579470198675494,9.957384105960266
2020-05-29,19.817880794701985,9.14453642384106
2020-05-30,12.771523178807945,5.893145695364239
2020-05-31,11.052631578947368,5.100000000000001
2020-06-01,14.327485380116958,6.6111111111111125
2020-06-02,10.643274853801168,4.911111111111111
2020-06-03,9.82456140350877,4.533333333333333
2020-06-04,8.596491228070175,3.966666666666667
2020-06-05,8.187134502923977,3.7777777777777786
2020-06-06,7.368421052631579,3.4000000000000004
2020-06-07,6.829268292682927,3.1512195121951225
2020-06-08,10.24390243902439,4.726829268292684
2020-06-09,9.817073170731708,4.529878048780489
2020-06-10,11.524390243902438,5.317682926829269
2020-06-11,14.085365853658535,6.49939024390244
2020-06-12,21.76829268292683,10.044512195121953
2020-06-13,30.73170731707317,14.18048780487805
2020-06-14,18.445360824742263,8.51121649484536
2020-06-15,25.97938144329896,11.987628865979378
2020-06-16,12.210309278350511,5.634185567010308
2020-06-17,25.97938144329896,11.987628865979378
2020-06-18,16.107216494845357,7.432329896907216
2020-06-19,16.886597938144323,7.791958762886596
2020-06-20,10.391752577319584,4.795051546391752
2020-06-21,4.083333333333331,1.8841666666666659
2020-06-22,6.066666666666663,2.7993333333333323
2020-06-23,5.249999999999997,2.4224999999999994
2020-06-24,3.966666666666665,1.8303333333333327
2020-06-25,5.016666666666664,2.3148333333333326
2020-06-26,5.599999999999997,2.583999999999999
2020-06-27,5.016666666666664,2.3148333333333326
2020-06-28,4.144,1.9121600000000005
2020-06-29,6.272,2.8940800000000007
2020-06-30,9.968,4.599520000000001
2020-07-01,8.176,3.772640000000001
2020-07-02,5.376,2.4806400000000006
2020-07-03,4.816,2.22224
2020-07-04,3.248,1.4987200000000005
2020-07-05,3.1111111111111107,1.4355555555555557
2020-07-06,7.222222222222221,3.3325396825396827
2020-07-07,6.555555555555555,3.0249206349206355
2020-07-08,6.888888888888888,3.1787301587301595
2020-07-09,3.888888888888889,1.7944444444444447
2020-07-10,3.7777777777777777,1.7431746031746034
2020-07-11,3.5555555555555554,1.640634920634921
2020-07-12,4.3898305084745735,2.025593220338982
2020-07-13,5.932203389830505,2.7372881355932193
2020-07-14,6.050847457627115,2.7920338983050836
2020-07-15,10.91525423728813,5.0366101694915235
