Category: All categories

Day,Quarantine: (Metro Manila)
2020-07-14,35
2020-07-15,48
2020-07-16,42
2020-07-17,32
2020-07-18,27
2020-07-19,25
2020-07-20,26
2020-07-21,30
2020-07-22,29
2020-07-23,34
2020-07-24,28
2020-07-25,29
2020-07-26,35
2020-07-27,34
2020-07-28,30
2020-07-29,32
2020-07-30,46
2020-07-31,61
2020-08-01,31
2020-08-02,100
2020-08-03,82
2020-08-04,45
2020-08-05,36
2020-08-06,32
2020-08-07,31
2020-08-08,29
2020-08-09,28
2020-08-10,27
2020-08-11,23
2020-08-12,25
2020-08-13,27
