Category: All categories

Day,Quarantine: (Metro Manila)
2020-06-14,61
2020-06-15,100
2020-06-16,69
2020-06-17,49
2020-06-18,50
2020-06-19,41
2020-06-20,42
2020-06-21,40
2020-06-22,38
2020-06-23,42
2020-06-24,43
2020-06-25,41
2020-06-26,41
2020-06-27,36
2020-06-28,41
2020-06-29,58
2020-06-30,97
2020-07-01,76
2020-07-02,45
2020-07-03,47
2020-07-04,41
2020-07-05,45
2020-07-06,52
2020-07-07,50
2020-07-08,45
2020-07-09,41
2020-07-10,44
2020-07-11,32
2020-07-12,36
2020-07-13,48
2020-07-14,55
