Category: All categories

Day,Quarantine: (Metro Manila)
2020-08-13,38
2020-08-14,37
2020-08-15,51
2020-08-16,43
2020-08-17,100
2020-08-18,65
2020-08-19,50
2020-08-20,47
2020-08-21,36
2020-08-22,38
2020-08-23,34
2020-08-24,39
2020-08-25,33
2020-08-26,32
2020-08-27,36
2020-08-28,39
2020-08-29,38
2020-08-30,38
2020-08-31,63
2020-09-01,46
2020-09-02,41
2020-09-03,36
2020-09-04,34
2020-09-05,37
2020-09-06,35
2020-09-07,30
2020-09-08,35
2020-09-09,31
2020-09-10,28
2020-09-11,25
2020-09-12,30
