Category: All categories

Day,Quarantine: (Metro Manila)
2020-11-11,47
2020-11-12,47
2020-11-13,34
2020-11-14,42
2020-11-15,59
2020-11-16,75
2020-11-17,53
2020-11-18,64
2020-11-19,73
2020-11-20,63
2020-11-21,57
2020-11-22,69
2020-11-23,64
2020-11-24,45
2020-11-25,71
2020-11-26,55
2020-11-27,62
2020-11-28,58
2020-11-29,46
2020-11-30,100
2020-12-01,87
2020-12-02,66
2020-12-03,61
2020-12-04,79
2020-12-05,68
2020-12-06,56
2020-12-07,63
2020-12-08,47
2020-12-09,71
2020-12-10,60
2020-12-11,60
