Category: All categories

Day,Quarantine: (Metro Manila)
2020-05-15,94
2020-05-16,91
2020-05-17,71
2020-05-18,67
2020-05-19,51
2020-05-20,55
2020-05-21,72
2020-05-22,53
2020-05-23,49
2020-05-24,50
2020-05-25,51
2020-05-26,64
2020-05-27,60
2020-05-28,100
2020-05-29,76
2020-05-30,49
2020-05-31,55
2020-06-01,52
2020-06-02,42
2020-06-03,35
2020-06-04,37
2020-06-05,35
2020-06-06,36
2020-06-07,34
2020-06-08,36
2020-06-09,36
2020-06-10,33
2020-06-11,35
2020-06-12,34
2020-06-13,30
2020-06-14,40
