,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,-3.3306690738754696e-16,0.2736128427604639,0.2640516790151658,0.4023879315237162,0.3573550684683905,0.2810352550322797,0,0,0.23390169985462042,0.23189879252710005,0.237341681070737,0,0.26247098127467056,0,0
cough,0.2736128427605172,1.887379141862766e-14,0.2356155393430863,0.28716043299094035,0.15826666975423437,0.44341577383584013,0,0,0.43237810731609305,0.46418832400093996,0.23229102748470534,0,0.33251277296196274,0,0
fever,0.26405167901515514,0.23561553934303114,-3.9968028886505635e-15,0.20755514288925267,0.20578191819929048,0.342710730314843,0,0,0.1958994628884432,0.38237068948269515,0.46114036451823315,0,0.46378733941763467,0,0
headache,0.4023879315237116,0.28716043299095745,0.2075551428892944,-1.4876988529977098e-14,0.3542188625413268,0.3887988009479336,0,0,0.1866078027702238,0.252353652649451,0.3969862293510788,0,0.2706964714474466,0,0
lagnat,0.3573550684683923,0.1582666697542384,0.2057819181993021,0.35421886254132307,-3.3306690738754696e-16,0.28808331492964284,0,0,0.1868942078269376,0.10148117508967384,0.26154603890249617,0,0.1956310400559923,0,0
rashes,0.2810352550323128,0.443415773835899,0.34271073031488264,0.38879880094796504,0.2880833149296458,4.440892098500626e-16,0,0,0.20579301834215885,0.25765584408922076,0.300793237654694,0,0.31448860972188525,0,0
sipon,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,0.0,0,0.0,0,0
ubo,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0.0,0.0,0.0,0,0.0,0,0
ecq,0.233901699854622,0.43237810731609644,0.1958994628884473,0.1866078027702309,0.1868942078269376,0.2057930183421557,0,0,-2.220446049250313e-16,0.2800759630401222,0.5236366655365382,0,0.37736876871761654,0,0
face-shield,0.23189879252712786,0.46418832400091276,0.38237068948272324,0.2523536526494241,0.10148117508966539,0.25765584408918885,0,0,0.280075963040123,4.440892098500626e-16,0.455961582970375,0,0.4265042988344407,0,0
Frontliners,0.23734168107074435,0.23229102748471334,0.4611403645182402,0.3969862293510693,0.2615460389024965,0.3007932376546838,0,0,0.5236366655365394,0.45596158297037315,4.440892098500626e-16,0,0.3846228279777963,0,0
masks,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-1,0.0,0,0
Quarantine,0.26247098127463864,0.3325127729619447,0.46378733941765493,0.27069647144737174,0.1956310400559952,0.31448860972187437,0,0,0.3773687687176186,0.4265042988344521,0.38462282797778913,0,-1.354472090042691e-14,0,0
social-distancing,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,-1,0
work-from-home,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,-1
