,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,0.4275177891195524,0.3131029737243664,0.31815574386203704,0.3772284164710865,0.2262000204997795,0.2951494460768525,0.2607093650137916,0.7090221333084495,0.2695566447982533,0.27760180947668495,0.33862777637829794,0.3648854702032548,0.49110411590649705,0.21230346049896467
cough,0.4275177891195809,1.0,0.2430525780497364,0.35102407903815586,0.26737721843382367,0.35065345047102575,0.5217828207700476,0.30441029937544006,0.37674684172592665,0.34734625597936314,0.48182738580159434,0.4201977244202387,0.33374153336470064,0.41305176126106524,0.3280953595349037
fever,0.31310297372437806,0.24305257804963878,1.0,0.3188935084108658,0.23397348781490881,0.28053550908119107,0.31687273557223283,0.321100478854949,0.23096339785268027,0.24146246757192794,0.4294251246574803,0.5902058555934739,0.2577679650983043,0.30121514944560934,0.48865698013241504
headache,0.3181557438620088,0.3510240790381052,0.31889350841079134,1.0,0.2947180238627398,0.26289667392764465,0.3549880534116923,0.3041802603702089,0.308388318175084,0.29199183501295184,0.3098748336156528,0.45962719096693355,0.25421762539761794,0.2061294655286943,0.2672302760758425
lagnat,0.377228416471099,0.2673772184338175,0.23397348781489463,0.29471802386278434,1.0,0.2326634365384329,0.2163473609273573,0.23922805714999484,0.3588341084421,0.4183603217838014,0.2439382594275565,0.26479764208631895,0.25349199060893607,0.2508843901567937,0.25651734449664143
rashes,0.2262000204997525,0.3506534504709576,0.2805355090811451,0.26289667392762056,0.2326634365384292,1.0,0.4225517101327335,0.7592251603425418,0.25917728157245584,0.4320576384317822,0.45850557947882403,0.45445656435523035,0.2599215079189712,0.40578829806724764,0.4753941327582681
sipon,0.29514944607686117,0.5217828207700596,0.3168727355722083,0.35498805341166345,0.21634736092735574,0.4225517101327449,1.0,0.4393339058791268,0.36359524571453344,0.3285473086074271,0.5667956035632221,0.4343561233943379,0.403893265733315,0.35393029395781056,0.2936813990828181
ubo,0.26070936501378306,0.3044102993754261,0.3211004788549411,0.3041802603702049,0.23922805714999434,0.7592251603425431,0.4393339058791263,1.0,0.43296207892782357,0.594323502308469,0.4858771109870758,0.3706882289704654,0.2757588041756426,0.458589892410876,0.4838452462263594
ecq,0.7090221333084417,0.37674684172592326,0.23096339785268027,0.30838831817509105,0.3588341084420985,0.25917728157246156,0.3635952457145341,0.43296207892782435,1.0,0.3556679408287818,0.22545344930279293,0.260071475726646,0.6238408362522638,0.4824744908646632,0.2289691501020416
face-shield,0.2695566447982315,0.3473462559793636,0.2414624675719801,0.2919918350130275,0.4183603217838068,0.432057638431793,0.3285473086074173,0.5943235023084726,0.35566794082878256,1.0,0.3669602567794037,0.36227141016746234,0.29564538820416497,0.30810214733776703,0.41294662634959667
Frontliners,0.27760180947668694,0.48182738580159035,0.4294251246574712,0.309874833615673,0.24393825942755384,0.4585055794788227,0.5667956035632224,0.4858771109870758,0.22545344930279154,0.36696025677939825,1.0,0.7161595124431156,0.4787897826346758,0.3509318884728306,0.3219656717097664
masks,0.33862777637831093,0.42019772442023084,0.5902058555934879,0.45962719096694593,0.26479764208631756,0.45445656435522847,0.43435612339432594,0.37068822897046283,0.2600714757266501,0.3622714101674525,0.7161595124431168,1.0,0.47202300309298145,0.3170166570298294,0.42970715755299604
Quarantine,0.3648854702032391,0.3337415333646996,0.2577679650983006,0.2542176253976342,0.2534919906089394,0.2599215079189803,0.40389326573330464,0.2757588041756481,0.6238408362522658,0.29564538820415187,0.4787897826346737,0.472023003092985,1.0,0.33161349416369024,0.3323097280105033
social-distancing,0.4911041159064997,0.4130517612610666,0.3012151494456127,0.20612946552870862,0.2508843901567928,0.4057882980672507,0.35393029395781167,0.45858989241087694,0.48247449086466354,0.3081021473377663,0.35093188847283135,0.3170166570298329,0.33161349416368946,1.0,0.25431634442160644
work-from-home,0.21230346049895193,0.3280953595348419,0.48865698013239,0.2672302760757517,0.25651734449663965,0.47539413275826536,0.2936813990828132,0.4838452462263594,0.22896915010203875,0.41294662634957763,0.3219656717097568,0.42970715755298067,0.33230972801050646,0.2543163444216043,1.0
