,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,-7.771561172376096e-16,0.3187712395949401,0.28802204144678833,0.3830589742880168,0,0,0,0,0.23805591476601518,0,0.4454094973212047,0,0.25367717934203926,0,0
cough,0.31877123959492626,-3.4416913763379853e-15,0.3131731368416138,0.22109904102470668,0,0,0,0,0.4520354506761285,0,0.4405491572689127,0,0.28136466951908157,0,0
fever,0.28802204144677235,0.3131731368415633,-1.687538997430238e-14,0.3880381766370288,0,0,0,0,0.23870974107148518,0,0.3767974038804186,0,0.40323215467049406,0,0
headache,0.38305897428803004,0.22109904102474298,0.38803817663712953,-7.105427357601002e-15,0,0,0,0,0.1947879738182892,0,0.24240631744736812,0,0.2842993139922819,0,0
lagnat,0.0,0.0,0.0,0.0,-1,0,0,0,0.0,0,0.0,0,0.0,0,0
rashes,0.0,0.0,0.0,0.0,0,-1,0,0,0.0,0,0.0,0,0.0,0,0
sipon,0.0,0.0,0.0,0.0,0,0,-1,0,0.0,0,0.0,0,0.0,0,0
ubo,0.0,0.0,0.0,0.0,0,0,0,-1,0.0,0,0.0,0,0.0,0,0
ecq,0.238055914766017,0.45203545067612555,0.23870974107149262,0.19478797381827795,0,0,0,0,6.661338147750939e-16,0,0.3203823353387003,0,0.17956218258070167,0,0
face-shield,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-1,0.0,0,0.0,0,0
Frontliners,0.44540949732120705,0.4405491572689222,0.3767974038804297,0.24240631744736446,0,0,0,0,0.32038233533869925,0,0.0,0,0.23513198380686515,0,0
masks,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,-1,0.0,0,0
Quarantine,0.25367717934206374,0.2813646695191149,0.40323215467058116,0.2842993139920996,0,0,0,0,0.17956218258070786,0,0.2351319838068798,0,-1.7985612998927536e-14,0,0
social-distancing,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,-1,0
work-from-home,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,-1
