,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,-5.88418203051333e-15,0.3229873168761191,0.24730365740595284,0.3035470522589451,0.3681251838558053,0.28311971000326336,0,0,0.3710106016337378,0.3129569244828395,0.29465683724774583,0,0.2535254901591651,0.16775551667944122,0
cough,0.32298731687610865,6.439293542825908e-15,0.34289126577651735,0.2780424652864665,0.14197179199320795,0.29810742095451664,0,0,0.48282694145492283,0.31193386215762275,0.3826793935961259,0,0.44348770804375126,0.1799711590874231,0
fever,0.2473036574059434,0.3428912657764758,1.9095836023552692e-14,0.23486807734497872,0.2553307754198663,0.3712676827880025,0,0,0.23263927801646406,0.2618122527401099,0.3035300641254593,0,0.35670983562203756,0.16497275761509853,0
headache,0.30354705225898737,0.27804246528638055,0.23486807734505522,1.0880185641326534e-14,0.1623370998167893,0.3885966569313506,0,0,0.1852519252045902,0.34974974185017405,0.4510093610503504,0,0.30198275727787993,0.24315505341048813,0
lagnat,0.3681251838558032,0.14197179199319887,0.2553307754198572,0.16233709981678734,-4.440892098500626e-16,0.2229239288304889,0,0,0.1705492439427453,0.14658835434404396,0.269864771042765,0,0.2515493328525722,0.09676924900092478,0
rashes,0.28311971000326125,0.29810742095455617,0.3712676827880525,0.3885966569313362,0.22292392883048837,-5.773159728050814e-15,0,0,0.22804806454376716,0.30915468341424035,0.3617895080469507,0,0.29828473682169243,0.32022367701478877,0
sipon,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0.0,0.0,0.0,0,0.0,0.0,0
ubo,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0.0,0.0,0.0,0,0.0,0.0,0
ecq,0.3710106016337383,0.48282694145491994,0.23263927801644818,0.18525192520458547,0.17054924394274365,0.22804806454376023,0,0,2.220446049250313e-16,0.37610335904575937,0.5099864781885188,0,0.391584924175052,0.4311771283405529,0
face-shield,0.3129569244828446,0.31193386215761093,0.2618122527401202,0.3497497418501351,0.14658835434403983,0.30915468341423025,0,0,0.37610335904576103,1.7763568394002505e-15,0.36389270551377284,0,0.3096254168271365,0.19699214297411852,0
Frontliners,0.29465683724776404,0.3826793935961229,0.3035300641254423,0.45100936105034717,0.2698647710427645,0.36178950804695154,0,0,0.5099864781885203,0.3638927055137794,0.0,0,0.3277828393943904,0.6281992724684943,0
masks,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-1,0.0,0.0,0
Quarantine,0.2535254901591815,0.4434877080437635,0.3567098356220368,0.30198275727790913,0.251549332852574,0.29828473682168083,0,0,0.3915849241750482,0.30962541682713873,0.32778283939439407,0,-1.1879386363489175e-14,0.2935967490722231,0
social-distancing,0.1677555166794488,0.17997115908741318,0.1649727576150806,0.24315505341048455,0.09676924900092335,0.32022367701478627,0,0,0.43117712834055244,0.19699214297412276,0.6281992724684952,0,0.29359674907222455,2.220446049250313e-16,0
work-from-home,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,-1
