,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,0.31139244569412877,0.23663591674947235,0.24709946060856708,0.1721156261486693,0.3491698830568767,0.31465044030100553,0.36862187911138583,0.36320660929863363,0.338046024808307,0.3901843140365989,0.2701869486364271,0.21166933220019668,0.30909743627813807,0.5578133078265911
cough,0.31139244569412355,1.0,0.2707293669766986,0.3760878255625871,0.2605344848158532,0.37580920924986155,0.33516140809168027,0.24819753242067333,0.2886132547226191,0.3468891869279435,0.28378146472380517,0.39633572164850395,0.33920382786190423,0.2572901388079532,0.3339503983315832
fever,0.23663591674952225,0.2707293669767552,1.0,0.34468842508937125,0.16753410660528287,0.3703320174349287,0.3570288165549767,0.21731132840364725,0.29140172771632333,0.40159744928198327,0.4240251644986424,0.4074861368191323,0.22236749093383018,0.2940462211967645,0.29654717013335075
headache,0.2470994606085813,0.3760878255626258,0.34468842508922803,1.0,0.34897221672609635,0.3133170493901535,0.25025398227841716,0.20288929032916642,0.3534537419773386,0.3268559502212859,0.5696283410725771,0.22541509029947648,0.3188355642745725,0.4156012303737793,0.2344320508491477
lagnat,0.17211562614866197,0.26053448481584884,0.16753410660528012,0.34897221672609513,1.0,0.1812833253459631,0.19060829749861344,0.23036755051217003,0.17026296218232478,0.25325842844664137,0.16014410265415,0.22506876514273602,0.2489862140534224,0.4564890003128195,0.18558737234814116
rashes,0.3491698830568668,0.37580920924983485,0.3703320174349163,0.3133170493901582,0.18128332534596053,1.0,0.5136382957785129,0.29765280402321115,0.3026963721833287,0.22907691658279444,0.47239049812621325,0.3440055876914223,0.26973290447937537,0.35599079858330224,0.33674173236418864
sipon,0.3146504403010004,0.3351614080916887,0.3570288165549596,0.25025398227839357,0.19060829749861508,0.5136382957785129,1.0,0.2821707910513969,0.23334132370434174,0.3789989864863191,0.4596568342189805,0.33887069558142774,0.23989334149914876,0.30732488412534825,0.3267158711238165
ubo,0.36862187911138267,0.2481975324206778,0.21731132840364023,0.20288929032916855,0.230367550512172,0.29765280402321115,0.28217079105139253,1.0,0.5571397695920245,0.22899608546972394,0.4149699838581063,0.2770154571428665,0.3125849199775797,0.2253272019099701,0.26715386690624315
ecq,0.36320660929863585,0.2886132547226228,0.2914017277163432,0.35345374197734863,0.17026296218232587,0.3026963721833312,0.23334132370433192,0.5571397695920239,1.0,0.20138755636274053,0.4346562118570438,0.32028202410458306,0.33058267473744946,0.37121157090171586,0.6082655718048191
face-shield,0.338046024808306,0.34688918692796616,0.4015974492819547,0.3268559502212971,0.25325842844664137,0.2290769165827646,0.3789989864863128,0.2289960854697273,0.20138755636274677,1.0,0.3795354363330071,0.2722081882815501,0.3260899280907641,0.32841488173637534,0.27386332918296175
Frontliners,0.3901843140365972,0.28378146472379245,0.42402516449863104,0.5696283410725771,0.16014410265415246,0.47239049812621325,0.4596568342189752,0.41496998385810396,0.434656211857046,0.37953543633301334,1.0,0.23980015813919273,0.22333492653535195,0.3149448103307492,0.2923288971309138
masks,0.2701869486364286,0.39633572164849284,0.40748613681916823,0.2254150902995049,0.22506876514273497,0.34400558769143186,0.33887069558141997,0.27701545714286735,0.32028202410458306,0.27220818828153887,0.2398001581391875,1.0,0.4230289473845406,0.2448819110132096,0.23148948750852816
Quarantine,0.21166933220019485,0.33920382786180825,0.2223674909337987,0.3188355642745859,0.2489862140534183,0.26973290447938103,0.23989334149909483,0.3125849199775718,0.3305826747374512,0.32608992809077814,0.22333492653535456,0.4230289473845327,1.0,0.2723180104215936,0.24983714916459515
social-distancing,0.3090974362781531,0.2572901388079732,0.2940462211968038,0.41560123037377494,0.4564890003128198,0.35599079858330585,0.30732488412535064,0.2253272019099725,0.37121157090172124,0.32841488173638583,0.31494481033075444,0.24488191101321194,0.27231801042162024,1.0,0.32186361663483315
work-from-home,0.557813307826587,0.3339503983316014,0.2965471701333667,0.2344320508491619,0.18558737234814504,0.3367417323641928,0.326715871123807,0.26715386690624393,0.6082655718048241,0.2738633291830032,0.29232889713091753,0.231489487508531,0.24983714916461064,0.32186361663483776,1.0
