,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,0.3683339554332078,0.29616823010726795,0.2845461237536788,0.355370876440928,0.32409640492219605,0.278326937402258,0.28704485311715244,0.303306898578763,0.29181369120675926,0.3424776966890354,0.2913157981810019,0.3472318137266126,0.33869087940095,0.431444926722893
cough,0.36833395543320974,1.0,0.5375747678575682,0.4481365766426119,0.2891796553397154,0.36385797171653633,0.27920715323584644,0.36411915450868065,0.4244762417029083,0.23672488826312232,0.3137678362179258,0.25861824983358395,0.4726611297658779,0.20311013918586643,0.2845863703163663
fever,0.29616823010726795,0.5375747678575877,1.0,0.432020577447388,0.2733537397255307,0.30381521855079485,0.23354476970281376,0.2281184330494387,0.30303938805874725,0.43819046011211205,0.3348988844688905,0.32318838140078854,0.5615040723934428,0.185806030375749,0.24963026407368988
headache,0.2845461237537183,0.4481365766426014,0.4320205774474063,1.0,0.26874637709760296,0.3495031881282593,0.297958073241893,0.2780557567261296,0.3630887780504541,0.22113484358784136,0.18632138742631052,0.2624417267797394,0.38440409611730414,0.23003277777698503,0.23990786085547042
lagnat,0.3553708764409309,0.28917965533971657,0.27335373972552507,0.2687463770976089,1.0,0.3513955082252502,0.21393705560593523,0.16302480534883,0.35951547456099114,0.22418912841365163,0.25835653677437587,0.2359749637855689,0.21592267757196607,0.17356208797757985,0.27902484325427046
rashes,0.32409640492219605,0.36385797171658624,0.3038152185508506,0.34950318812823533,0.3513955082252514,1.0,0.2629055218842523,0.2510810300971024,0.18592100338440798,0.22298657170443145,0.28237191232178516,0.356806717684277,0.32094194958222305,0.28563939602320015,0.26416065238457515
sipon,0.278326937402268,0.27920715323582396,0.2335447697028036,0.2979580732418666,0.21393705560593446,0.2629055218842523,1.0,0.24995186681579884,0.18456462230400258,0.2911862441575007,0.31201952144795186,0.3379791763076436,0.3492265425810187,0.20268542456332003,0.2823121186723925
ubo,0.2870448531171542,0.3641191545086834,0.2281184330494415,0.2780557567261207,0.1630248053488311,0.25108103009710364,0.24995186681580323,1.0,0.2731593413706184,0.179361596199571,0.2542989736122054,0.21064884366789394,0.3456676673546407,0.2049199112030389,0.16997161802506677
ecq,0.3033068985787675,0.4244762417029043,0.3030393880587486,0.36308877805044215,0.35951547456099114,0.18592100338440798,0.18456462230400011,0.27315934137061815,1.0,0.15359082305532032,0.2745710249444958,0.24401421581673208,0.45379274544409837,0.20027260560018054,0.39238539651440885
face-shield,0.291813691206769,0.23672488826308613,0.4381904601121263,0.22113484358787242,0.22418912841365574,0.22298657170444008,0.2911862441575082,0.1793615961995701,0.15359082305532573,1.0,0.22474230964283548,0.23001289795261223,0.26139801096939164,0.16028710859345388,0.23622359991814562
Frontliners,0.34247769668902805,0.3137678362179145,0.3348988844688985,0.1863213874262961,0.25835653677437526,0.2823719123217787,0.31201952144795253,0.25429897361220494,0.27457102494449487,0.22474230964282732,1.0,0.6561955792938576,0.33026038557564685,0.2256265324913816,0.25031076672166835
masks,0.2913157981810054,0.25861824983356213,0.32318838140077977,0.2624417267797615,0.2359749637855689,0.3568067176842625,0.3379791763076461,0.21064884366789477,0.24401421581673347,0.23001289795260924,0.6561955792938585,1.0,0.28459320348556033,0.25543786361349097,0.32745946510254925
Quarantine,0.34723181372663614,0.472661129765863,0.5615040723934149,0.3844040961172566,0.21592267757197198,0.3209419495821681,0.3492265425810342,0.3456676673546401,0.4537927454440944,0.26139801096939563,0.3302603855756537,0.28459320348555034,1.0,0.2122981860121653,0.40076147995979056
social-distancing,0.3386908794009486,0.20311013918587,0.1858060303757399,0.23003277777697764,0.17356208797757985,0.2856393960232009,0.2026854245633171,0.20491991120303826,0.20027260560018054,0.16028710859345388,0.22562653249138112,0.2554378636134903,0.21229818601217,1.0,0.18221197282193924
work-from-home,0.4314449267229054,0.28458637031636774,0.249630264073692,0.23990786085542698,0.2790248432542726,0.2641606523845894,0.28231211867239175,0.16997161802506805,0.3923853965144099,0.2362235999181527,0.25031076672166985,0.3274594651025474,0.400761479959794,0.18221197282194157,1.0
