,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,0.36248039991823705,0.27466898333498146,0.3992787353412524,0.3352729604556176,0.33463981247527846,0.30593387455937165,0.4548082334088922,0.3077928342805927,0.28432986501746493,0.32994382564830904,0.4157354271163391,0.27873360011983433,0.27227290056460307,0.4181673771377015
cough,0.36248039991824893,1.0,0.30373717353376906,0.3026614434543519,0.2764145283915116,0.24811094160070302,0.2682069773267208,0.3000866801587317,0.19586849849889426,0.19369410399394293,0.43275784536446715,0.3462751274773951,0.32768188244915697,0.217192220945905,0.39947567795211864
fever,0.2746689833349827,0.30373717353389673,1.0,0.30361284552522366,0.3137789090009591,0.17946767121427298,0.26146065981695704,0.49046862596386964,0.18037082264685406,0.30522170492109063,0.47012190328429315,0.22752707918398096,0.2896039342548894,0.309486590919628,0.21190689239587682
headache,0.3992787353412222,0.30266144345414514,0.30361284552510365,1.0,0.19480830524711845,0.40405534952763345,0.35948928598956204,0.22140817023388798,0.2270648399487589,0.3462103526640424,0.23711543800705848,0.29348218522147906,0.3435783216350055,0.2636838816631443,0.29168597678298447
lagnat,0.33527296045561966,0.2764145283915121,0.3137789090009515,0.1948083052471383,1.0,0.3353271134630645,0.28409181553429447,0.20610757982126066,0.2702383659677054,0.2518851295407283,0.19884625742103715,0.23573072657054478,0.30137335684024097,0.22533769379599658,0.2593432834840967
rashes,0.33463981247527186,0.24811094160073469,0.1794676712142919,0.4040553495276706,0.3353271134630655,1.0,0.2696613145232083,0.23792475505168123,0.24349908850466906,0.36826950890932497,0.20212876521433257,0.2765509728503952,0.2637371366034439,0.3077529779895053,0.19998642444558873
sipon,0.30593387455937404,0.2682069773266355,0.26146065981696076,0.3594892859895811,0.28409181553428864,0.2696613145232004,1.0,0.22802503561664741,0.24689106887810086,0.2833242712305852,0.2935616601147482,0.3262888828978056,0.38007218942429577,0.1627538663862601,0.28893290179678666
ubo,0.4548082334088922,0.3000866801587161,0.4904686259638704,0.2214081702339025,0.20610757982126066,0.23792475505167318,0.22802503561665394,1.0,0.22039003311527172,0.24738120305206932,0.21834968044097683,0.20403318866536244,0.2215502716732401,0.19037822910354582,0.18814162794238085
ecq,0.30779283428059173,0.19586849849889232,0.18037082264685253,0.22706483994876162,0.2702383659677049,0.24349908850466723,0.24689106887810328,0.22039003311527172,1.0,0.2431771734075195,0.3383645282769837,0.24802823024595275,0.48920402945726005,0.27683832326180297,0.32417105659712125
face-shield,0.28432986501747076,0.1936941039938648,0.3052217049210713,0.3462103526640483,0.2518851295407283,0.36826950890932125,0.2833242712306005,0.24738120305206995,0.24317717340752043,1.0,0.23928021274274194,0.2862802058521835,0.40222000428774546,0.2501238889823266,0.2668072166465547
Frontliners,0.3299438256483033,0.43275784536446177,0.47012190328428755,0.23711543800708348,0.19884625742103715,0.20212876521433792,0.29356166011475243,0.21834968044097852,0.3383645282769837,0.239280212742739,1.0,0.3401072979260441,0.2212635814073478,0.12024540965852641,0.2357964834022662
masks,0.4157354271163282,0.3462751274773695,0.22752707918396545,0.293482185221456,0.23573072657054278,0.2765509728503731,0.3262888828978051,0.20403318866536244,0.24802823024595447,0.286280205852179,0.34010729792603894,1.0,0.22322461251214357,0.17980133346122157,0.2899063333513173
Quarantine,0.2787336001198484,0.3276818824491892,0.2896039342548959,0.3435783216350562,0.3013733568402388,0.2637371366034208,0.3800721894243195,0.22155027167322328,0.4892040294572591,0.4022200042877441,0.2212635814073505,0.22322461251215245,1.0,0.23368840240711694,0.5770756574623493
social-distancing,0.27227290056460124,0.21719222094590024,0.30948659091962655,0.2636838816631366,0.22533769379599658,0.3077529779895053,0.16275386638625708,0.19037822910354657,0.27683832326180297,0.2501238889823251,0.1202454096585273,0.17980133346122157,0.2336884024071139,1.0,0.2690803837346238
work-from-home,0.4181673771377041,0.3994756779520956,0.21190689239586402,0.2916859767830085,0.259343283484096,0.19998642444559314,0.28893290179679026,0.18814162794237416,0.324171056597124,0.26680721664656076,0.23579648340226492,0.2899063333513127,0.5770756574623559,0.2690803837346238,1.0
