Category: All categories

Day,face shield: (Metro Manila)
2020-09-12,91
2020-09-13,74
2020-09-14,64
2020-09-15,95
2020-09-16,60
2020-09-17,85
2020-09-18,76
2020-09-19,68
2020-09-20,68
2020-09-21,80
2020-09-22,61
2020-09-23,75
2020-09-24,79
2020-09-25,52
2020-09-26,63
2020-09-27,69
2020-09-28,81
2020-09-29,63
2020-09-30,55
2020-10-01,68
2020-10-02,69
2020-10-03,77
2020-10-04,71
2020-10-05,48
2020-10-06,81
2020-10-07,100
2020-10-08,76
2020-10-09,60
2020-10-10,43
2020-10-11,49
2020-10-12,63
