Category: All categories

Day,face shield: (Metro Manila)
2020-07-14,8
2020-07-15,8
2020-07-16,9
2020-07-17,9
2020-07-18,9
2020-07-19,8
2020-07-20,9
2020-07-21,8
2020-07-22,8
2020-07-23,7
2020-07-24,5
2020-07-25,5
2020-07-26,7
2020-07-27,5
2020-07-28,3
2020-07-29,5
2020-07-30,5
2020-07-31,30
2020-08-01,21
2020-08-02,14
2020-08-03,16
2020-08-04,22
2020-08-05,61
2020-08-06,100
2020-08-07,73
2020-08-08,65
2020-08-09,55
2020-08-10,41
2020-08-11,38
2020-08-12,44
2020-08-13,41
