Category: All categories

Day,face shield: (Metro Manila)
2020-10-12,78
2020-10-13,43
2020-10-14,54
2020-10-15,74
2020-10-16,61
2020-10-17,96
2020-10-18,100
2020-10-19,58
2020-10-20,92
2020-10-21,62
2020-10-22,70
2020-10-23,62
2020-10-24,51
2020-10-25,58
2020-10-26,64
2020-10-27,74
2020-10-28,89
2020-10-29,84
2020-10-30,62
2020-10-31,77
2020-11-01,37
2020-11-02,61
2020-11-03,70
2020-11-04,62
2020-11-05,48
2020-11-06,92
2020-11-07,64
2020-11-08,57
2020-11-09,53
2020-11-10,52
2020-11-11,37
