Category: All categories

Day,face shield: (Metro Manila)
2020-08-13,78
2020-08-14,100
2020-08-15,89
2020-08-16,64
2020-08-17,58
2020-08-18,45
2020-08-19,44
2020-08-20,39
2020-08-21,44
2020-08-22,39
2020-08-23,30
2020-08-24,32
2020-08-25,32
2020-08-26,27
2020-08-27,29
2020-08-28,27
2020-08-29,25
2020-08-30,21
2020-08-31,17
2020-09-01,23
2020-09-02,25
2020-09-03,18
2020-09-04,15
2020-09-05,14
2020-09-06,15
2020-09-07,13
2020-09-08,14
2020-09-09,15
2020-09-10,11
2020-09-11,11
2020-09-12,14
