Category: All categories

Day,face shield: (Metro Manila)
2020-05-15,58
2020-05-16,67
2020-05-17,61
2020-05-18,74
2020-05-19,79
2020-05-20,85
2020-05-21,96
2020-05-22,89
2020-05-23,74
2020-05-24,55
2020-05-25,60
2020-05-26,63
2020-05-27,63
2020-05-28,59
2020-05-29,54
2020-05-30,67
2020-05-31,95
2020-06-01,89
2020-06-02,54
2020-06-03,100
2020-06-04,69
2020-06-05,65
2020-06-06,73
2020-06-07,0
2020-06-08,40
2020-06-09,60
2020-06-10,49
2020-06-11,57
2020-06-12,38
2020-06-13,64
2020-06-14,0
