Category: All categories

Day,social distancing: (Metro Manila)
2020-05-15,61
2020-05-16,62
2020-05-17,73
2020-05-18,100
2020-05-19,89
2020-05-20,82
2020-05-21,56
2020-05-22,61
2020-05-23,60
2020-05-24,37
2020-05-25,41
2020-05-26,67
2020-05-27,78
2020-05-28,75
2020-05-29,39
2020-05-30,62
2020-05-31,50
2020-06-01,83
2020-06-02,60
2020-06-03,58
2020-06-04,72
2020-06-05,46
2020-06-06,62
2020-06-07,44
2020-06-08,49
2020-06-09,45
2020-06-10,40
2020-06-11,52
2020-06-12,31
2020-06-13,0
2020-06-14,46
