Category: All categories

Day,social distancing: (Metro Manila)
2020-07-14,60
2020-07-15,66
2020-07-16,90
2020-07-17,0
2020-07-18,71
2020-07-19,0
2020-07-20,53
2020-07-21,63
2020-07-22,63
2020-07-23,93
2020-07-24,53
2020-07-25,60
2020-07-26,0
2020-07-27,59
2020-07-28,94
2020-07-29,76
2020-07-30,77
2020-07-31,0
2020-08-01,62
2020-08-02,100
2020-08-03,80
2020-08-04,55
2020-08-05,70
2020-08-06,83
2020-08-07,0
2020-08-08,0
2020-08-09,67
2020-08-10,86
2020-08-11,58
2020-08-12,72
2020-08-13,69
