Category: All categories

Day,social distancing: (Metro Manila)
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,0
2020-11-16,0
2020-11-17,0
2020-11-18,0
2020-11-19,66
2020-11-20,91
2020-11-21,0
2020-11-22,0
2020-11-23,75
2020-11-24,97
2020-11-25,0
2020-11-26,63
2020-11-27,92
2020-11-28,90
2020-11-29,0
2020-11-30,0
2020-12-01,83
2020-12-02,100
2020-12-03,86
2020-12-04,85
2020-12-05,0
2020-12-06,0
2020-12-07,73
2020-12-08,70
2020-12-09,69
2020-12-10,0
2020-12-11,75
