Category: All categories

Day,social distancing: (Metro Manila)
2020-10-12,64
2020-10-13,75
2020-10-14,90
2020-10-15,76
2020-10-16,80
2020-10-17,68
2020-10-18,0
2020-10-19,71
2020-10-20,70
2020-10-21,0
2020-10-22,100
2020-10-23,0
2020-10-24,0
2020-10-25,0
2020-10-26,68
2020-10-27,53
2020-10-28,0
2020-10-29,74
2020-10-30,0
2020-10-31,0
2020-11-01,0
2020-11-02,0
2020-11-03,98
2020-11-04,0
2020-11-05,0
2020-11-06,90
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,85
2020-11-11,0
