Category: All categories

Day,social distancing: (Metro Manila)
2020-08-13,64
2020-08-14,0
2020-08-15,0
2020-08-16,0
2020-08-17,54
2020-08-18,76
2020-08-19,0
2020-08-20,67
2020-08-21,0
2020-08-22,68
2020-08-23,0
2020-08-24,52
2020-08-25,50
2020-08-26,0
2020-08-27,48
2020-08-28,0
2020-08-29,59
2020-08-30,0
2020-08-31,64
2020-09-01,62
2020-09-02,48
2020-09-03,0
2020-09-04,100
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,77
2020-09-09,47
2020-09-10,0
2020-09-11,58
2020-09-12,76
