Category: All categories

Day,social distancing: (Metro Manila)
2020-06-14,80
2020-06-15,90
2020-06-16,59
2020-06-17,78
2020-06-18,67
2020-06-19,78
2020-06-20,74
2020-06-21,59
2020-06-22,76
2020-06-23,63
2020-06-24,74
2020-06-25,85
2020-06-26,78
2020-06-27,48
2020-06-28,56
2020-06-29,83
2020-06-30,64
2020-07-01,53
2020-07-02,79
2020-07-03,74
2020-07-04,51
2020-07-05,0
2020-07-06,100
2020-07-07,50
2020-07-08,51
2020-07-09,63
2020-07-10,0
2020-07-11,53
2020-07-12,0
2020-07-13,48
2020-07-14,48
