date,density,global_cc
2020-04-15,0.29523809523809524,0.12825396825396826
2020-04-16,0.36666666666666664,0.17523809523809525
2020-04-17,0.35714285714285715,0.16444444444444445
2020-04-18,0.28095238095238095,0.1511111111111111
2020-04-19,0.21428571428571427,0.15873015873015872
2020-04-20,0.19523809523809524,0.14793650793650795
2020-04-21,0.1761904761904762,0.13396825396825396
2020-04-22,0.16666666666666666,0.1307936507936508
2020-04-23,0.1761904761904762,0.1346031746031746
2020-04-24,0.18571428571428572,0.1403174603174603
2020-04-25,0.19523809523809524,0.14412698412698413
2020-04-26,0.19523809523809524,0.14412698412698413
2020-04-27,0.1761904761904762,0.13396825396825396
2020-04-28,0.1761904761904762,0.13206349206349208
2020-04-29,0.1380952380952381,0.11238095238095239
2020-04-30,0.1380952380952381,0.11238095238095239
2020-05-01,0.12857142857142856,0.10476190476190476
2020-05-02,0.16666666666666666,0.12571428571428572
2020-05-03,0.16666666666666666,0.12571428571428572
2020-05-04,0.15714285714285714,0.1180952380952381
2020-05-05,0.15714285714285714,0.1180952380952381
2020-05-06,0.15714285714285714,0.1180952380952381
2020-05-07,0.16666666666666666,0.12571428571428572
2020-05-08,0.14761904761904762,0.11301587301587301
2020-05-09,0.15714285714285714,0.12253968253968255
2020-05-10,0.14761904761904762,0.1180952380952381
2020-05-11,0.1380952380952381,0.11555555555555555
2020-05-12,0.12857142857142856,0.11047619047619048
2020-05-13,0.12857142857142856,0.11047619047619048
2020-05-14,0.1380952380952381,0.11555555555555555
2020-05-15,0.1380952380952381,0.11365079365079366
2020-05-16,0.12857142857142856,0.1073015873015873
2020-05-17,0.1761904761904762,0.1219047619047619
2020-05-18,0.1761904761904762,0.12126984126984126
2020-05-19,0.18571428571428572,0.12571428571428572
2020-05-20,0.1761904761904762,0.11936507936507937
2020-05-21,0.19523809523809524,0.11555555555555555
2020-05-22,0.18571428571428572,0.11682539682539683
2020-05-23,0.1761904761904762,0.12761904761904763
2020-05-24,0.16666666666666666,0.1219047619047619
2020-05-25,0.15714285714285714,0.11555555555555555
2020-05-26,0.14761904761904762,0.10793650793650794
2020-05-27,0.1761904761904762,0.12571428571428572
2020-05-28,0.19523809523809524,0.13523809523809524
2020-05-29,0.20476190476190476,0.14222222222222222
2020-05-30,0.18571428571428572,0.13714285714285715
2020-05-31,0.16666666666666666,0.1288888888888889
2020-06-01,0.14761904761904762,0.11936507936507937
2020-06-02,0.1380952380952381,0.11238095238095239
2020-06-03,0.1380952380952381,0.11238095238095239
2020-06-04,0.14761904761904762,0.11936507936507937
2020-06-05,0.14761904761904762,0.11746031746031746
2020-06-06,0.1380952380952381,0.10984126984126984
2020-06-07,0.15714285714285714,0.12
2020-06-08,0.1380952380952381,0.11428571428571428
2020-06-09,0.11904761904761904,0.09968253968253968
2020-06-10,0.1380952380952381,0.10984126984126984
2020-06-11,0.11904761904761904,0.10031746031746032
2020-06-12,0.11904761904761904,0.10031746031746032
2020-06-13,0.11904761904761904,0.1034920634920635
2020-06-14,0.11904761904761904,0.1034920634920635
2020-06-15,0.10952380952380952,0.09714285714285714
2020-06-16,0.10952380952380952,0.09714285714285714
2020-06-17,0.11904761904761904,0.10285714285714286
2020-06-18,0.12857142857142856,0.10793650793650794
2020-06-19,0.12857142857142856,0.10793650793650794
2020-06-20,0.12857142857142856,0.10412698412698412
2020-06-21,0.12857142857142856,0.10412698412698412
2020-06-22,0.12857142857142856,0.10412698412698412
2020-06-23,0.12857142857142856,0.10412698412698412
2020-06-24,0.1380952380952381,0.11174603174603175
2020-06-25,0.14761904761904762,0.11301587301587301
2020-06-26,0.1380952380952381,0.10984126984126984
2020-06-27,0.12857142857142856,0.10222222222222223
2020-06-28,0.1380952380952381,0.10539682539682539
2020-06-29,0.12857142857142856,0.10222222222222223
2020-06-30,0.1380952380952381,0.10539682539682539
2020-07-01,0.12857142857142856,0.10222222222222223
2020-07-02,0.11904761904761904,0.09968253968253968
2020-07-03,0.12857142857142856,0.10222222222222223
2020-07-04,0.12857142857142856,0.10412698412698412
2020-07-05,0.12857142857142856,0.10603174603174603
2020-07-06,0.12857142857142856,0.10603174603174603
2020-07-07,0.10952380952380952,0.0946031746031746
2020-07-08,0.12857142857142856,0.10666666666666667
2020-07-09,0.11904761904761904,0.10285714285714286
2020-07-10,0.11904761904761904,0.10285714285714286
2020-07-11,0.1,0.08825396825396825
2020-07-12,0.08095238095238096,0.07428571428571429
2020-07-13,0.08095238095238096,0.07428571428571429
2020-07-14,0.08095238095238096,0.07428571428571429
2020-07-15,0.08095238095238096,0.07428571428571429
2020-07-16,0.09047619047619047,0.08190476190476191
2020-07-17,0.08095238095238096,0.07428571428571429
2020-07-18,0.08095238095238096,0.07428571428571429
2020-07-19,0.09047619047619047,0.08063492063492063
2020-07-20,0.09047619047619047,0.08063492063492063
2020-07-21,0.09047619047619047,0.08063492063492063
2020-07-22,0.10952380952380952,0.0946031746031746
2020-07-23,0.11904761904761904,0.09714285714285714
2020-07-24,0.12857142857142856,0.10095238095238095
2020-07-25,0.10952380952380952,0.0946031746031746
2020-07-26,0.11904761904761904,0.09841269841269841
2020-07-27,0.10952380952380952,0.09333333333333334
2020-07-28,0.10952380952380952,0.09333333333333334
2020-07-29,0.10952380952380952,0.09333333333333334
2020-07-30,0.1,0.08825396825396825
2020-07-31,0.12857142857142856,0.1073015873015873
2020-08-01,0.1,0.08952380952380952
2020-08-02,0.10952380952380952,0.0946031746031746
2020-08-03,0.09047619047619047,0.08063492063492063
2020-08-04,0.09047619047619047,0.08190476190476191
