,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,1.0,0.009956716712730945,-0.0645786638345811,0.2999285961930079,0.007124186600682775,0.2505221051026452,-1.0,0.04229075989508093,0.24851272120518758,-0.084623918899164,-0.004514686061960962,0.36460123351795826,0.05421763820064974,-0.02204676612246125,0.22186731200863083
cough,0.009956716712730945,1.0,-0.0738423778000959,-0.007661542726252076,0.11493030400665634,-0.2503370888659376,0.9999999999999999,-0.39973068738701384,-0.0796557588471082,-0.4359696460732814,-0.023677758276886042,-0.7713853715228867,0.10735949973251127,-0.343103860909739,-0.16971132161738092
fever,-0.0645786638345811,-0.0738423778000959,1.0,0.0009795188579235445,-0.08319084216949098,-0.36408977657031527,-1.0,-0.41926073003875536,-0.1423593268698766,-0.05403614153204307,0.3693825599389756,0.4165537424737538,-0.18345647039431395,0.028689228286991664,0.051821787174927046
headache,0.2999285961930079,-0.007661542726252076,0.0009795188579235445,1.0,0.13562848776379344,0.14831005192373145,0.9999999999999999,-0.10947808613423828,-0.07310479452614536,0.02663961960777586,-0.17572840572552428,-0.1473043890968413,0.07269446780342963,-0.2579923886832451,0.10914482318453805
lagnat,0.007124186600682775,0.11493030400665634,-0.08319084216949098,0.13562848776379344,1.0,0.2252997908150799,1.0,0.04325481105554711,-0.3709680071745604,-0.25592127148927607,0.1649682497560873,-0.7374849890425514,0.02723140418027287,-0.3492422892217341,-0.4000416492764732
rashes,0.2505221051026452,-0.2503370888659376,-0.36408977657031527,0.14831005192373145,0.2252997908150799,1.0,0.9999999999999998,0.5081561512575115,0.1422022390968508,0.11712125903818812,-0.11555602107539834,-0.38789803447351245,0.0826613015847089,-0.028436249415766793,-0.1066124949408988
sipon,-1.0,0.9999999999999999,-1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999998,-1.0,
ubo,0.04229075989508093,-0.39973068738701384,-0.41926073003875536,-0.10947808613423828,0.04325481105554711,0.5081561512575115,,1.0,-0.006982588773185987,0.2318306001190944,-0.4069288682374488,-0.46677434453405053,-0.08828771741850754,0.343043422577575,0.16202847141595164
ecq,0.24851272120518758,-0.0796557588471082,-0.1423593268698766,-0.07310479452614536,-0.3709680071745604,0.1422022390968508,-0.9999999999999999,-0.006982588773185987,1.0,0.06496908143879022,0.44315316991566106,0.8548859791842846,0.3081381610261749,0.29971502197991556,-0.1726881918451264
face-shield,-0.084623918899164,-0.4359696460732814,-0.05403614153204307,0.02663961960777586,-0.25592127148927607,0.11712125903818812,-1.0,0.2318306001190944,0.06496908143879022,1.0,0.02805929899484879,0.35711455445022855,0.022568525509616667,0.1367541921159918,0.0802164858273282
Frontliners,-0.004514686061960962,-0.023677758276886042,0.3693825599389756,-0.17572840572552428,0.1649682497560873,-0.11555602107539834,-1.0,-0.4069288682374488,0.44315316991566106,0.02805929899484879,1.0,0.42674400428475456,0.35703327480844965,0.15554525826434806,-0.33803394404726794
masks,0.36460123351795826,-0.7713853715228867,0.4165537424737538,-0.1473043890968413,-0.7374849890425514,-0.38789803447351245,-1.0,-0.46677434453405053,0.8548859791842846,0.35711455445022855,0.42674400428475456,1.0,0.31948930578792006,0.47267831059602117,
Quarantine,0.05421763820064974,0.10735949973251127,-0.18345647039431395,0.07269446780342963,0.02723140418027287,0.0826613015847089,-0.9999999999999998,-0.08828771741850754,0.3081381610261749,0.022568525509616667,0.35703327480844965,0.31948930578792006,1.0,0.22607052045606385,-0.008064820280268822
social-distancing,-0.02204676612246125,-0.343103860909739,0.028689228286991664,-0.2579923886832451,-0.3492422892217341,-0.028436249415766793,-1.0,0.343043422577575,0.29971502197991556,0.1367541921159918,0.15554525826434806,0.47267831059602117,0.22607052045606385,1.0,0.35069748811250095
work-from-home,0.22186731200863083,-0.16971132161738092,0.051821787174927046,0.10914482318453805,-0.4000416492764732,-0.1066124949408988,,0.16202847141595164,-0.1726881918451264,0.0802164858273282,-0.33803394404726794,,-0.008064820280268822,0.35069748811250095,1.0
