date,sipon,isPartial
2021-03-05,60,False
2021-03-06,77,False
2021-03-07,83,False
2021-03-08,79,False
2021-03-09,53,False
2021-03-10,69,False
2021-03-11,65,False
2021-03-12,100,False
2021-03-13,98,False
2021-03-14,62,False
2021-03-15,89,False
2021-03-16,63,False
