Category: All categories

Day,cough: (Metro Manila)
2020-12-11,70
2020-12-12,85
2020-12-13,65
2020-12-14,82
2020-12-15,79
2020-12-16,86
2020-12-17,73
2020-12-18,82
2020-12-19,80
2020-12-20,100
2020-12-21,64
2020-12-22,74
2020-12-23,81
2020-12-24,89
2020-12-25,74
2020-12-26,97
2020-12-27,96
2020-12-28,97
2020-12-29,87
2020-12-30,90
2020-12-31,67
2021-01-01,91
2021-01-02,93
2021-01-03,80
2021-01-04,72
2021-01-05,75
2021-01-06,89
2021-01-07,77
2021-01-08,80
2021-01-09,77
2021-01-10,89
