Category: All categories

Day,cough: (Metro Manila)
2020-05-15,84
2020-05-16,79
2020-05-17,84
2020-05-18,87
2020-05-19,73
2020-05-20,84
2020-05-21,84
2020-05-22,96
2020-05-23,100
2020-05-24,80
2020-05-25,86
2020-05-26,75
2020-05-27,54
2020-05-28,93
2020-05-29,67
2020-05-30,60
2020-05-31,65
2020-06-01,73
2020-06-02,75
2020-06-03,84
2020-06-04,83
2020-06-05,73
2020-06-06,98
2020-06-07,75
2020-06-08,88
2020-06-09,73
2020-06-10,68
2020-06-11,91
2020-06-12,77
2020-06-13,93
2020-06-14,81
