Category: All categories

Day,cough: (Metro Manila)
2020-06-14,47
2020-06-15,57
2020-06-16,49
2020-06-17,44
2020-06-18,41
2020-06-19,60
2020-06-20,53
2020-06-21,68
2020-06-22,56
2020-06-23,58
2020-06-24,76
2020-06-25,90
2020-06-26,57
2020-06-27,80
2020-06-28,82
2020-06-29,74
2020-06-30,76
2020-07-01,85
2020-07-02,95
2020-07-03,69
2020-07-04,81
2020-07-05,100
2020-07-06,84
2020-07-07,85
2020-07-08,90
2020-07-09,100
2020-07-10,92
2020-07-11,93
2020-07-12,95
2020-07-13,87
2020-07-14,87
