Category: All categories

Day,cough: (Metro Manila)
2020-10-12,70
2020-10-13,73
2020-10-14,59
2020-10-15,58
2020-10-16,73
2020-10-17,65
2020-10-18,87
2020-10-19,82
2020-10-20,88
2020-10-21,81
2020-10-22,97
2020-10-23,75
2020-10-24,79
2020-10-25,79
2020-10-26,71
2020-10-27,100
2020-10-28,71
2020-10-29,57
2020-10-30,81
2020-10-31,83
2020-11-01,81
2020-11-02,65
2020-11-03,82
2020-11-04,66
2020-11-05,77
2020-11-06,63
2020-11-07,62
2020-11-08,73
2020-11-09,78
2020-11-10,65
2020-11-11,71
