Category: All categories

Day,cough: (Metro Manila)
2020-08-13,89
2020-08-14,80
2020-08-15,83
2020-08-16,100
2020-08-17,72
2020-08-18,81
2020-08-19,82
2020-08-20,81
2020-08-21,86
2020-08-22,70
2020-08-23,97
2020-08-24,74
2020-08-25,88
2020-08-26,71
2020-08-27,71
2020-08-28,82
2020-08-29,90
2020-08-30,64
2020-08-31,66
2020-09-01,70
2020-09-02,72
2020-09-03,56
2020-09-04,65
2020-09-05,84
2020-09-06,82
2020-09-07,71
2020-09-08,73
2020-09-09,68
2020-09-10,62
2020-09-11,86
2020-09-12,74
