Category: All categories

Day,cough: (Metro Manila)
2020-07-14,78
2020-07-15,91
2020-07-16,94
2020-07-17,67
2020-07-18,86
2020-07-19,97
2020-07-20,75
2020-07-21,100
2020-07-22,88
2020-07-23,100
2020-07-24,80
2020-07-25,84
2020-07-26,100
2020-07-27,84
2020-07-28,86
2020-07-29,81
2020-07-30,85
2020-07-31,94
2020-08-01,72
2020-08-02,70
2020-08-03,74
2020-08-04,68
2020-08-05,76
2020-08-06,66
2020-08-07,77
2020-08-08,68
2020-08-09,66
2020-08-10,60
2020-08-11,60
2020-08-12,59
2020-08-13,64
