date,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
2020-04-22,61.643891143545744,26.0,48.36268741067162,76.0,147.31351999733494,84.0,53.05264114008808,0.0097661121947669,91.0,58.62725365492923,57.14951668831064,84.40969226724677,88.45275872069189,87.00456530285048,91.46588023189572
2020-04-23,77.16072842333445,26.20617594558749,53.53575324845707,77.0,3.110344866317306,85.0,55.78853533869866,1.9558331151379296,63.44562750701935,13428.783692322602,63.84183580038058,51.41418519954517,115.27994843802166,74.95877085983953,83.73401197068384
2020-04-24,73.87860900603333,32.370349066936534,49.70160756027081,76.0,0.0191708193032404,91.03764141932918,59.53880578385915,1.906979106027689,58.4017717667054,11496.36182605488,58.86149179028615,36.465677262875566,151.50699190835323,71.26667336609175,83.10526278242025
2020-04-25,89.03367840901726,26.00879896777485,55.917185005589374,87.0,0.0187562330493075,90.90898196046452,0.0103734596809456,1.8604546821322765,21.869400060950703,13708.34374934587,50.88611979873264,57.499775445218894,63.83435094184219,82.03999877343412,74.7907092182492
2020-04-26,80.3210174546258,39.73031857639405,58.88267241613585,78.0,119.38427451864996,79.77109526714587,0.0111793564847529,2.574323886166233,19.225515318640003,11557.132411393584,45.90218121059985,0.0100835228143165,61.66700939736193,0.0161344576246052,64.62008503554142
2020-04-27,56.51153112586024,36.83297757994319,55.97121598643889,79.0,0.0179965275506831,89.03201691426445,0.0110388024942209,66.98038997956031,28.543241943005885,14259.232691985875,52.89254338661335,69.27564860410428,65.46421461662825,146.3539092946152,106.01972111336624
2020-04-28,90.66823154976348,36.98505869077231,70.01061221592056,86.0,3.5814801855857814,54.88046071512228,70.92449479853911,23470.31160393374,36.269848665195134,11322.369787334468,54.8935622770487,66.31692039524677,77.36783291908623,107.65364622782404,109.9854233390518
2020-04-29,126.13963406701116,76.5533625639542,70.25676302095893,77.0,3.5018923574931318,55.41406865547635,90.64248437822464,21009.139972862784,32.373606535137995,16180.63210393056,65.87795691450945,76.66695435478661,59.95096743908119,116.76745565149892,116.51518650377103
2020-04-30,122.2534845571652,55.88039625262018,76.6853507909705,69.0,24324.473815908597,58.6625501657773,49.11264251351629,45.91737722162141,45.91204727418395,17773.002155493094,52.90626070735862,54.50441408527438,56.83237324079593,148.61527259541285,87.79321440893008
2020-05-01,128.56412223397567,80.5228267832822,82.16284354547183,94.49535701801364,32665.39867060981,78.56243974708235,0.0105699775576001,0.0133269570302517,36.88768860776492,15220.541903132977,49.91533315773546,49.14044988033535,48.69870190456872,78.62630307647397,73.32334441483442
