date,masks,isPartial
2020-10-10,0,False
2020-10-11,92,False
2020-10-12,75,False
2020-10-13,0,False
2020-10-14,91,False
2020-10-15,72,False
2020-10-16,0,False
2020-10-17,73,False
2020-10-18,100,False
