,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
flu,0.0,0.12223513358457037,-0.11048291932852604,0.10573605568319491,0.16064429345795256,-0.5584355530860723,-0.06138401418505125,-0.1806048832360831,-0.36297710159724417,0.3865135050180195,-0.26555323912453294,0.11232622851662456,-0.1445606682700006,0.1995727398670978,0.27872354519690784
cough,0.12223513358457037,0.0,0.5119938088773301,0.02873949727488931,0.19714087551698783,-0.1908184465621786,0.031902345119170374,-0.11102474560776233,-0.484899486203735,-0.19103520518525027,-0.44027447539560305,0.4011980172096746,-0.280211401886446,-0.191415878040014,0.3676945214800218
fever,-0.11048291932852604,0.5119938088773301,0.0,-0.0913784381006165,0.08176686237921109,0.10172581735209157,-0.13314171637377564,-0.07053494563726072,-0.42363826852441494,-0.23948637536579517,-0.3000275750244805,0.4658685190429159,-0.39271859944600823,-0.147898581345633,-0.01103299518196886
headache,0.10573605568319491,0.02873949727488931,-0.0913784381006165,0.0,-0.12948364152984027,-0.26991349936633324,0.23839481683715402,-0.061578538564822025,-0.2748080024628269,-0.17147316282682099,-0.08719041101275621,0.04405625504184746,-0.3626487720613327,-0.1056417613323134,0.1440210176412318
lagnat,0.16064429345795256,0.19714087551698783,0.08176686237921109,-0.12948364152984027,0.0,0.05815991498528929,0.00985064174366879,-0.17076813377566982,-0.2058070674644675,-0.015450017203974372,-0.053142931154690785,0.32696733014526635,-0.2056710428859036,-0.08812317171243705,-0.2824533211376474
rashes,-0.5584355530860723,-0.1908184465621786,0.10172581735209157,-0.26991349936633324,0.05815991498528929,0.0,-0.18821712279721844,0.44267650803186936,0.5702670965555655,0.10803242050960671,0.4132407511187265,-0.11437431994122925,0.4592867646886095,0.20002309497728513,-0.42035748561606173
sipon,-0.06138401418505125,0.031902345119170374,-0.13314171637377564,0.23839481683715402,0.00985064174366879,-0.18821712279721844,0.0,-0.18658227435840738,-0.25567677943284844,-0.16408320176537955,-0.26990432996807356,0.16362327482882982,-0.19079190899742837,-0.18069128908141827,0.09709002687893256
ubo,-0.1806048832360831,-0.11102474560776233,-0.07053494563726072,-0.061578538564822025,-0.17076813377566982,0.44267650803186936,-0.18658227435840738,0.0,0.477625857124755,0.3287235653859759,0.333339951116384,-0.39712010839083545,0.4212350835068117,0.5550692398611358,-0.3252361943956642
ecq,-0.36297710159724417,-0.484899486203735,-0.42363826852441494,-0.2748080024628269,-0.2058070674644675,0.5702670965555655,-0.25567677943284844,0.477625857124755,0.0,0.3770452687565995,0.822363344730145,-0.5194609727080987,0.8245876990122362,0.4383168959627861,-0.4073462536457414
face-shield,0.3865135050180195,-0.19103520518525027,-0.23948637536579517,-0.17147316282682099,-0.015450017203974372,0.10803242050960671,-0.16408320176537955,0.3287235653859759,0.3770452687565995,0.0,0.40261271106533614,0.06330703709587054,0.32875650790210004,0.6418386839601724,-0.016713157818885067
Frontliners,-0.26555323912453294,-0.44027447539560305,-0.3000275750244805,-0.08719041101275621,-0.053142931154690785,0.4132407511187265,-0.26990432996807356,0.333339951116384,0.822363344730145,0.40261271106533614,0.0,-0.3312989230367635,0.5408873457485425,0.44917464854913225,-0.29596218843664135
masks,0.11232622851662456,0.4011980172096746,0.4658685190429159,0.04405625504184746,0.32696733014526635,-0.11437431994122925,0.16362327482882982,-0.39712010839083545,-0.5194609727080987,0.06330703709587054,-0.3312989230367635,0.0,-0.4093068833365361,-0.1968272224657455,0.22009356419874776
Quarantine,-0.1445606682700006,-0.280211401886446,-0.39271859944600823,-0.3626487720613327,-0.2056710428859036,0.4592867646886095,-0.19079190899742837,0.4212350835068117,0.8245876990122362,0.32875650790210004,0.5408873457485425,-0.4093068833365361,0.0,0.4038481222677827,-0.2718613493977478
social-distancing,0.1995727398670978,-0.191415878040014,-0.147898581345633,-0.1056417613323134,-0.08812317171243705,0.20002309497728513,-0.18069128908141827,0.5550692398611358,0.4383168959627861,0.6418386839601724,0.44917464854913225,-0.1968272224657455,0.4038481222677827,0.0,-0.03796799481052255
work-from-home,0.27872354519690784,0.3676945214800218,-0.01103299518196886,0.1440210176412318,-0.2824533211376474,-0.42035748561606173,0.09709002687893256,-0.3252361943956642,-0.4073462536457414,-0.016713157818885067,-0.29596218843664135,0.22009356419874776,-0.2718613493977478,-0.03796799481052255,0.0
