Category: All categories

Day,ubo: (Metro Manila)
2020-08-13,72
2020-08-14,59
2020-08-15,0
2020-08-16,100
2020-08-17,54
2020-08-18,0
2020-08-19,54
2020-08-20,0
2020-08-21,54
2020-08-22,0
2020-08-23,0
2020-08-24,80
2020-08-25,48
2020-08-26,0
2020-08-27,0
2020-08-28,0
2020-08-29,72
2020-08-30,62
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,68
2020-09-06,0
2020-09-07,51
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,61
2020-09-12,0
