Category: All categories

Day,ubo: (Metro Manila)
2020-04-15,58
2020-04-16,0
2020-04-17,83
2020-04-18,74
2020-04-19,0
2020-04-20,61
2020-04-21,0
2020-04-22,80
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,85
2020-04-27,0
2020-04-28,0
2020-04-29,88
2020-04-30,0
2020-05-01,63
2020-05-02,0
2020-05-03,66
2020-05-04,70
2020-05-05,0
2020-05-06,0
2020-05-07,100
2020-05-08,0
2020-05-09,59
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,0
2020-05-15,0
