Category: All categories

Day,ubo: (Metro Manila)
2020-07-14,87
2020-07-15,0
2020-07-16,78
2020-07-17,65
2020-07-18,100
2020-07-19,74
2020-07-20,93
2020-07-21,70
2020-07-22,58
2020-07-23,72
2020-07-24,84
2020-07-25,0
2020-07-26,68
2020-07-27,88
2020-07-28,88
2020-07-29,82
2020-07-30,0
2020-07-31,88
2020-08-01,92
2020-08-02,79
2020-08-03,0
2020-08-04,74
2020-08-05,91
2020-08-06,50
2020-08-07,71
2020-08-08,0
2020-08-09,0
2020-08-10,49
2020-08-11,0
2020-08-12,55
2020-08-13,67
