Category: All categories

Day,ubo: (Metro Manila)
2020-06-14,58
2020-06-15,0
2020-06-16,0
2020-06-17,55
2020-06-18,47
2020-06-19,55
2020-06-20,0
2020-06-21,62
2020-06-22,61
2020-06-23,0
2020-06-24,57
2020-06-25,45
2020-06-26,62
2020-06-27,73
2020-06-28,100
2020-06-29,60
2020-06-30,45
2020-07-01,67
2020-07-02,54
2020-07-03,72
2020-07-04,82
2020-07-05,0
2020-07-06,95
2020-07-07,65
2020-07-08,83
2020-07-09,60
2020-07-10,62
2020-07-11,77
2020-07-12,81
2020-07-13,49
2020-07-14,68
