Category: All categories

Day,ubo: (Metro Manila)
2021-01-10,75
2021-01-11,80
2021-01-12,75
2021-01-13,54
2021-01-14,0
2021-01-15,72
2021-01-16,79
2021-01-17,70
2021-01-18,46
2021-01-19,53
2021-01-20,88
2021-01-21,61
2021-01-22,80
2021-01-23,64
2021-01-24,45
2021-01-25,37
2021-01-26,57
2021-01-27,52
2021-01-28,39
2021-01-29,57
2021-01-30,61
2021-01-31,82
2021-02-01,47
2021-02-02,45
2021-02-03,75
2021-02-04,54
2021-02-05,0
2021-02-06,45
2021-02-07,100
2021-02-08,54
2021-02-09,54
